sn	max_dist	bin_width	kappa	DCBC
0	40	1.5	0.0	0.12715522179391966
1	40	1.5	0.0	0.10451169216784416
2	40	1.5	0.0	0.06989489205260845
3	40	1.5	0.0	0.2302184079645288
4	40	1.5	0.0	0.12891467614292584
5	40	1.5	0.0	0.16982124250166805
6	40	1.5	0.0	0.2302779081925414
7	40	1.5	0.0	0.12403904825543391
8	40	1.5	0.0	0.10912720959897151
9	40	1.5	0.0	0.1271586939649363
10	40	1.5	0.0	0.1894960553357622
11	40	1.5	0.0	0.06577510581340605
12	40	1.5	0.0	0.11676629359696443
13	40	1.5	0.0	0.17077709577647082
14	40	1.5	0.0	0.11609025063377684
15	40	1.5	0.0	0.17847546875111422
16	40	1.5	0.0	0.15790741820654156
17	40	1.5	0.0	0.09645676801579645
18	40	1.5	0.0	0.1589217686414717
19	40	1.5	0.0	0.1617045045702853
20	40	1.5	0.0	0.1788210450787163
21	40	1.5	0.0	0.10760157323170187
22	40	1.5	0.0	0.0917816390884216
23	40	1.5	0.0	0.16028452145572167
0	40	1.5	0.5	0.16842826341643174
1	40	1.5	0.5	0.16674866376529265
2	40	1.5	0.5	0.07965955989639796
3	40	1.5	0.5	0.3620110993825734
4	40	1.5	0.5	0.17232369731636066
5	40	1.5	0.5	0.2089032123208856
6	40	1.5	0.5	0.27396657011013714
7	40	1.5	0.5	0.1983005366313524
8	40	1.5	0.5	0.11109780405951007
9	40	1.5	0.5	0.20435856009684014
10	40	1.5	0.5	0.2954186989019132
11	40	1.5	0.5	0.07915190570442131
12	40	1.5	0.5	0.1724332136333931
13	40	1.5	0.5	0.23738730500013092
14	40	1.5	0.5	0.14162376964088141
15	40	1.5	0.5	0.25202145119495006
16	40	1.5	0.5	0.1884167945299635
17	40	1.5	0.5	0.1709695106296744
18	40	1.5	0.5	0.18903488232693894
19	40	1.5	0.5	0.2082900931828145
20	40	1.5	0.5	0.1890379063484071
21	40	1.5	0.5	0.13873651711887194
22	40	1.5	0.5	0.14689455438725801
23	40	1.5	0.5	0.1889132735789843
0	40	1.5	1.0	0.16715239178499858
1	40	1.5	1.0	0.17726179212608115
2	40	1.5	1.0	0.08420791117892967
3	40	1.5	1.0	0.3759427258534595
4	40	1.5	1.0	0.18603238622090565
5	40	1.5	1.0	0.2252603327306641
6	40	1.5	1.0	0.2806304449392948
7	40	1.5	1.0	0.20645828286781698
8	40	1.5	1.0	0.10480608515437694
9	40	1.5	1.0	0.23106002944116144
10	40	1.5	1.0	0.32014729837375067
11	40	1.5	1.0	0.0860071050676281
12	40	1.5	1.0	0.19057082809226303
13	40	1.5	1.0	0.25095987990680163
14	40	1.5	1.0	0.14998729378492429
15	40	1.5	1.0	0.2617051370366577
16	40	1.5	1.0	0.19133572064624252
17	40	1.5	1.0	0.1968912461994753
18	40	1.5	1.0	0.18422976598998683
19	40	1.5	1.0	0.22525589547254626
20	40	1.5	1.0	0.18577871687119646
21	40	1.5	1.0	0.15174810098460997
22	40	1.5	1.0	0.16391520105346102
23	40	1.5	1.0	0.19665899718416494
0	40	1.5	3.0	0.15960843303331249
1	40	1.5	3.0	0.18090987330942487
2	40	1.5	3.0	0.08627255575197655
3	40	1.5	3.0	0.38003536288268547
