contrast_name	task_name	positive	betas
FACES_hp200_s2_MSMAll	EMOTION	1	1
SHAPES_hp200_s2_MSMAll	EMOTION	1	1
FACES-SHAPES_hp200_s2_MSMAll	EMOTION	1	0
neg_FACES_hp200_s2_MSMAll	EMOTION	0	0
neg_SHAPES_hp200_s2_MSMAll	EMOTION	0	0
SHAPES-FACES_hp200_s2_MSMAll	EMOTION	0	0
PUNISH_hp200_s2_MSMAll	GAMBLING	1	1
REWARD_hp200_s2_MSMAll	GAMBLING	1	1
PUNISH-REWARD_hp200_s2_MSMAll	GAMBLING	1	0
neg_PUNISH_hp200_s2_MSMAll	GAMBLING	0	0
neg_REWARD_hp200_s2_MSMAll	GAMBLING	0	0
REWARD-PUNISH_hp200_s2_MSMAll	GAMBLING	0	0
MATH_hp200_s2_MSMAll	LANGUAGE	1	1
STORY_hp200_s2_MSMAll	LANGUAGE	1	1
MATH-STORY_hp200_s2_MSMAll	LANGUAGE	1	0
STORY-MATH_hp200_s2_MSMAll	LANGUAGE	0	0
neg_MATH_hp200_s2_MSMAll	LANGUAGE	0	0
neg_STORY_hp200_s2_MSMAll	LANGUAGE	0	0
CUE_hp200_s2_MSMAll	MOTOR	1	1
LF_hp200_s2_MSMAll	MOTOR	1	1
LH_hp200_s2_MSMAll	MOTOR	1	1
RF_hp200_s2_MSMAll	MOTOR	1	1
RH_hp200_s2_MSMAll	MOTOR	1	1
T_hp200_s2_MSMAll	MOTOR	1	1
AVG_hp200_s2_MSMAll	MOTOR	1	0
CUE-AVG_hp200_s2_MSMAll	MOTOR	1	0
LF-AVG_hp200_s2_MSMAll	MOTOR	1	0
LH-AVG_hp200_s2_MSMAll	MOTOR	1	0
RF-AVG_hp200_s2_MSMAll	MOTOR	1	0
RH-AVG_hp200_s2_MSMAll	MOTOR	1	0
T-AVG_hp200_s2_MSMAll	MOTOR	1	0
neg_CUE_hp200_s2_MSMAll	MOTOR	0	0
neg_LF_hp200_s2_MSMAll	MOTOR	0	0
neg_LH_hp200_s2_MSMAll	MOTOR	0	0
neg_RF_hp200_s2_MSMAll	MOTOR	0	0
neg_RH_hp200_s2_MSMAll	MOTOR	0	0
neg_T_hp200_s2_MSMAll	MOTOR	0	0
neg_AVG_hp200_s2_MSMAll	MOTOR	0	0
AVG-CUE_hp200_s2_MSMAll	MOTOR	0	0
AVG-LF_hp200_s2_MSMAll	MOTOR	0	0
AVG-LH_hp200_s2_MSMAll	MOTOR	0	0
AVG-RF_hp200_s2_MSMAll	MOTOR	0	0
AVG-RH_hp200_s2_MSMAll	MOTOR	0	0
AVG-T_hp200_s2_MSMAll	MOTOR	0	0
MATCH_hp200_s2_MSMAll	RELATIONAL	1	1
REL_hp200_s2_MSMAll	RELATIONAL	1	1
MATCH-REL_hp200_s2_MSMAll	RELATIONAL	1	0
REL-MATCH_hp200_s2_MSMAll	RELATIONAL	0	0
neg_MATCH_hp200_s2_MSMAll	RELATIONAL	0	0
neg_REL_hp200_s2_MSMAll	RELATIONAL	0	0
RANDOM_hp200_s2_MSMAll	SOCIAL	1	1
TOM_hp200_s2_MSMAll	SOCIAL	1	1
RANDOM-TOM_hp200_s2_MSMAll	SOCIAL	1	0
neg_RANDOM_hp200_s2_MSMAll	SOCIAL	0	0
neg_TOM_hp200_s2_MSMAll	SOCIAL	0	0
TOM-RANDOM_hp200_s2_MSMAll	SOCIAL	0	0
2BK_BODY_hp200_s2_MSMAll	WM	1	1
2BK_FACE_hp200_s2_MSMAll	WM	1	1
2BK_PLACE_hp200_s2_MSMAll	WM	1	1
2BK_TOOL_hp200_s2_MSMAll	WM	1	1
0BK_BODY_hp200_s2_MSMAll	WM	1	1
0BK_FACE_hp200_s2_MSMAll	WM	1	1
0BK_PLACE_hp200_s2_MSMAll	WM	1	1
0BK_TOOL_hp200_s2_MSMAll	WM	1	1
2BK_hp200_s2_MSMAll	WM	1	0
0BK_hp200_s2_MSMAll	WM	1	0
2BK-0BK_hp200_s2_MSMAll	WM	1	0
neg_2BK_hp200_s2_MSMAll	WM	0	0
neg_0BK_hp200_s2_MSMAll	WM	0	0
0BK-2BK_hp200_s2_MSMAll	WM	0	0
BODY_hp200_s2_MSMAll	WM	1	0
FACE_hp200_s2_MSMAll	WM	1	0
PLACE_hp200_s2_MSMAll	WM	1	0
TOOL_hp200_s2_MSMAll	WM	1	0
BODY-AVG_hp200_s2_MSMAll	WM	1	0
FACE-AVG_hp200_s2_MSMAll	WM	1	0
PLACE-AVG_hp200_s2_MSMAll	WM	1	0
TOOL-AVG_hp200_s2_MSMAll	WM	1	0
neg_BODY_hp200_s2_MSMAll	WM	0	0
neg_FACE_hp200_s2_MSMAll	WM	0	0
neg_PLACE_hp200_s2_MSMAll	WM	0	0
neg_TOOL_hp200_s2_MSMAll	WM	0	0
AVG-BODY_hp200_s2_MSMAll	WM	0	0
AVG-FACE_hp200_s2_MSMAll	WM	0	0
AVG-PLACE_hp200_s2_MSMAll	WM	0	0
AVG-TOOL_hp200_s2_MSMAll	WM	0	0
