atlas	K	train_data	train_sess	test_data	test_sess	model_type	group_map_name	subj_num	indiv_test_kappa	homo_indiv	task_name	test_run	train_smooth	test_smooth	test_type	strength	spatial_w
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	100206		0.07508557	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	100307		0.05736587	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	100408		0.09759545	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	100610		0.056287173	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	101006		0.051688176	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	101107		0.09296151	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	101309		0.06330039	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	101915		0.03815132	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102008		0.064312905	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102109		0.10437003	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102311		0.06980454	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102513		0.02726541	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102614		0.03951485	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102715		0.05390973	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102816		0.044613577	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	103111		0.040211696	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	103212		0.03630226	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	103414		0.055845648	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	103818		0.07296802	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	104820		0.05630058	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	105216		0.08212123	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	105923		0.07811222	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	106319		0.1408226	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	108121		0.086086385	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	108222		0.06408467	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	113316		0.053444456	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	123723		0.029528458	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	127226		0.04213938	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	127933		0.07185534	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	128026		0.077345364	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	128127		0.07679927	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	128632		0.13477978	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	128935		0.0461711	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	129331		0.09457116	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	130316		0.06062277	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	130922		0.049028747	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	131217		0.05380536	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	132017		0.0870553	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	134021		0.056119982	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	134324		0.07738281	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	134425		0.07306102	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	135629		0.09611216	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	135730		0.06522312	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	135932		0.11032391	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	136126		0.03710853	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	136227		0.048282057	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	136631		0.06655022	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	138332		0.07408228	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	140824		0.041948624	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	143325		0.075346366	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	100206		0.035835177	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	100307		0.044185527	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	100408		0.11292223	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	100610		0.048047643	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	101006		0.048312575	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	101107		0.10943714	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	101309		0.054600995	all	2	6fwhm	sm0	Tseries	20	100
