atlas	K	train_data	train_sess	test_data	test_sess	model_type	group_map_name	subj_num	indiv_test_kappa	homo_indiv	task_name	test_run	train_smooth	test_smooth	test_type	strength	spatial_w
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100206		0.07486928	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100307		0.05942648	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100408		0.09713107	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100610		0.056336656	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101006		0.052387003	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101107		0.09107685	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101309		0.0650766	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101915		0.039501168	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102008		0.06545123	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102109		0.10428207	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102311		0.069250435	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102513		0.026571374	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102614		0.039881974	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102715		0.055492077	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102816		0.0446743	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103111		0.04084824	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103212		0.03695865	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103414		0.055873577	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103818		0.07654691	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	104820		0.05720192	all	1	6fwhm	sm0	Tseries	20	30
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	105216		0.08165028	all	1	6fwhm	sm0	Tseries	20	30
