,LimbicA,ControlA,DorsAttnA,TempPar,DorsAttnB,Sal/VenAttnB,DefaultA,ControlB,Sal/VenAttnA,VisualB,SomatomotorA,DefaultB,DefaultC,SomatomotorB,VisualA,LimbicB,ControlC
Limbic,"0.5430
(p=0.0010)","0.0000
(p=0.8262)","0.0020
(p=0.5504)","0.0018
(p=0.4865)","0.0000
(p=0.6064)","0.0106
(p=0.5554)","0.0000
(p=0.8222)","0.0008
(p=0.7582)","0.0346
(p=0.5045)","0.0049
(p=0.3157)","0.0000
(p=0.5005)","0.0037
(p=0.6823)","0.0810
(p=0.1628)","0.0019
(p=0.3996)","0.0000
(p=0.3636)","0.3176
(p=0.0290)","0.0000
(p=0.3936)"
ControlA,"0.0004
(p=0.6683)","0.6019
(p=0.0010)","0.0122
(p=0.7193)","0.0007
(p=0.7852)","0.0000
(p=0.9371)","0.0579
(p=0.3546)","0.0031
(p=0.9171)","0.2016
(p=0.0100)","0.0014
(p=0.9690)","0.0000
(p=0.7632)","0.0000
(p=0.9101)","0.0142
(p=0.8442)","0.0004
(p=0.7363)","0.0000
(p=0.8681)","0.0000
(p=0.7902)","0.0573
(p=0.2428)","0.0361
(p=0.3137)"
VisualA,"0.0039
(p=0.3596)","0.0109
(p=0.7033)","0.5768
(p=0.0010)","0.0013
(p=0.5874)","0.0455
(p=0.3826)","0.0000
(p=0.8581)","0.0000
(p=0.9181)","0.0000
(p=0.8931)","0.0014
(p=0.8372)","0.0047
(p=0.4366)","0.0008
(p=0.6653)","0.0000
(p=0.9091)","0.0106
(p=0.4126)","0.0000
(p=0.6853)","0.3840
(p=0.0300)","0.0000
(p=0.4116)","0.0004
(p=0.5215)"
Language,"0.0709
(p=0.1778)","0.0394
(p=0.4046)","0.0000
(p=0.8272)","0.3044
(p=0.0020)","0.0036
(p=0.7532)","0.0902
(p=0.0849)","0.0000
(p=0.9530)","0.0042
(p=0.8082)","0.0204
(p=0.6763)","0.0037
(p=0.6334)","0.0000
(p=0.8192)","0.2179
(p=0.0040)","0.0041
(p=0.5544)","0.0026
(p=0.7652)","0.0000
(p=0.7203)","0.0000
(p=0.5704)","0.0000
(p=0.6374)"
DorsalAttentionA,"0.0106
(p=0.5954)","0.2853
(p=0.0020)","0.2867
(p=0.0020)","0.0165
(p=0.5694)","0.2713
(p=0.0020)","0.0599
(p=0.3926)","0.0000
(p=0.9960)","0.0005
(p=0.9920)","0.0644
(p=0.4775)","0.0029
(p=0.7962)","0.0000
(p=0.9650)","0.0005
(p=0.9970)","0.0220
(p=0.4645)","0.0018
(p=0.9131)","0.0000
(p=0.8941)","0.0013
(p=0.6973)","0.0652
(p=0.2078)"
Sal/VenAttnB,"0.0004
(p=0.6573)","0.0208
(p=0.7313)","0.0000
(p=0.9291)","0.0166
(p=0.5005)","0.0000
(p=0.9690)","0.5247
(p=0.0010)","0.0695
(p=0.3497)","0.1112
(p=0.1129)","0.0154
(p=0.8262)","0.0022
(p=0.7163)","0.0000
(p=0.9211)","0.0071
(p=0.8931)","0.0000
(p=0.7892)","0.0000
(p=0.8751)","0.0000
(p=0.8012)","0.0354
(p=0.3516)","0.1927
(p=0.0080)"
DefaultA,"0.0689
(p=0.2687)","0.0000
(p=0.9720)","0.0000
(p=0.9181)","0.0029
(p=0.7193)","0.0000
(p=0.9221)","0.0000
(p=0.9690)","0.6443
(p=0.0010)","0.0031
(p=0.9331)","0.0000
(p=0.9830)","0.0005
(p=0.7483)","0.0000
(p=0.9101)","0.1127
(p=0.2068)","0.0715
(p=0.1698)","0.0000
(p=0.8651)","0.0000
(p=0.7722)","0.1314
(p=0.1039)","0.0006
(p=0.7123)"
ControlB,"0.0057
(p=0.5754)","0.0144
(p=0.8242)","0.0000
(p=0.9650)","0.0039
(p=0.6973)","0.0000
(p=0.9860)","0.0093
(p=0.8891)","0.1608
(p=0.0589)","0.6271
(p=0.0010)","0.0000
(p=0.9900)","0.0000
(p=0.8661)","0.0000
(p=0.9650)","0.1110
(p=0.1309)","0.0000
(p=0.8621)","0.0000
(p=0.9510)","0.0000
(p=0.8851)","0.0359
(p=0.3417)","0.0608
(p=0.2288)"
Sal/VenAttnA,"0.0018
(p=0.6394)","0.0087
(p=0.8901)","0.0009
(p=0.9181)","0.0284
(p=0.4595)","0.0515
(p=0.4505)","0.1857
(p=0.0310)","0.0000
(p=0.9950)","0.0000
(p=0.9890)","0.7427
(p=0.0010)","0.0000
(p=0.8192)","0.0104
(p=0.7333)","0.0002
(p=0.9900)","0.0000
(p=0.8531)","0.0448
(p=0.5445)","0.0000
(p=0.8402)","0.0014
(p=0.6374)","0.0029
(p=0.6344)"
VisualB,"0.0046
(p=0.3526)","0.0000
(p=0.9301)","0.0164
(p=0.4715)","0.0000
(p=0.7133)","0.0012
(p=0.7562)","0.0000
(p=0.8731)","0.0006
(p=0.9141)","0.0000
(p=0.9241)","0.0271
(p=0.5475)","0.7658
(p=0.0010)","0.0097
(p=0.5524)","0.0000
(p=0.9401)","0.0076
(p=0.4206)","0.0141
(p=0.4745)","0.3177
(p=0.0689)","0.0000
(p=0.4635)","0.0155
(p=0.3047)"
SomatomotorA,"0.0000
(p=0.4296)","0.0000
(p=0.8981)","0.0004
(p=0.7163)","0.0000
(p=0.6943)","0.0209
(p=0.5465)","0.0000
(p=0.8332)","0.0000
(p=0.9101)","0.0000
(p=0.8561)","0.0227
(p=0.6773)","0.0000
(p=0.4845)","0.8875
(p=0.0010)","0.0000
(p=0.8971)","0.0000
(p=0.5504)","0.1282
(p=0.2567)","0.0000
(p=0.5275)","0.0000
(p=0.4096)","0.0000
(p=0.5295)"
DefaultB,"0.0657
(p=0.2707)","0.0027
(p=0.9431)","0.0000
(p=0.9011)","0.0364
(p=0.3417)","0.0000
(p=0.9241)","0.0117
(p=0.7762)","0.0839
(p=0.3287)","0.0203
(p=0.7243)","0.0007
(p=0.9620)","0.0000
(p=0.7522)","0.0000
(p=0.8831)","0.6483
(p=0.0010)","0.0000
(p=0.8052)","0.0000
(p=0.8541)","0.0000
(p=0.7662)","0.0908
(p=0.1838)","0.0004
(p=0.6903)"
