,Sal/VenAttnB,ControlA,VisualA,Language,DorsalAttentionA,ControlC,DefaultA,ControlB,Sal/VenAttnA,VisualB,SomatomotorA,DefaultB,DefaultC,SomatomotorB,DorsalAttentionB,Auditory,VisualC
Sal/VenAttnB,"0.5794
(p=0.0010)","0.1651
(p=0.0370)","0.0000
(p=0.9261)","0.0308
(p=0.5704)","0.0009
(p=0.8841)","0.0498
(p=0.5085)","0.0261
(p=0.7522)","0.0402
(p=0.5095)","0.0900
(p=0.1998)","0.0003
(p=0.7992)","0.0000
(p=0.8641)","0.0132
(p=0.8601)","0.0031
(p=0.8162)","0.0002
(p=0.9820)","0.0021
(p=0.8601)","0.0018
(p=0.8082)","0.0022
(p=0.6843)"
ControlA,"0.0285
(p=0.5844)","0.5156
(p=0.0010)","0.0008
(p=0.9361)","0.0207
(p=0.7223)","0.1337
(p=0.0959)","0.1633
(p=0.0180)","0.0175
(p=0.8681)","0.1375
(p=0.0619)","0.0039
(p=0.9371)","0.0000
(p=0.8142)","0.0000
(p=0.8591)","0.0021
(p=0.9650)","0.0014
(p=0.8621)","0.0002
(p=0.9630)","0.0000
(p=0.9740)","0.0000
(p=0.9091)","0.0082
(p=0.5714)"
VisualA,"0.0051
(p=0.6873)","0.0062
(p=0.7493)","0.7789
(p=0.0010)","0.0000
(p=0.8741)","0.0964
(p=0.2198)","0.0000
(p=0.9670)","0.0002
(p=0.9650)","0.0000
(p=0.9481)","0.0023
(p=0.8891)","0.0040
(p=0.4396)","0.0018
(p=0.6793)","0.0024
(p=0.8611)","0.0208
(p=0.4585)","0.0000
(p=0.8721)","0.0000
(p=0.7323)","0.0002
(p=0.6793)","0.2554
(p=0.0759)"
Language,"0.0450
(p=0.4086)","0.1216
(p=0.0839)","0.0000
(p=0.8232)","0.5233
(p=0.0010)","0.0000
(p=0.8252)","0.0013
(p=0.8521)","0.0058
(p=0.9151)","0.0054
(p=0.9101)","0.0010
(p=0.9421)","0.0000
(p=0.7053)","0.0000
(p=0.5455)","0.0909
(p=0.2238)","0.0000
(p=0.8641)","0.0022
(p=0.8541)","0.0000
(p=0.8981)","0.0017
(p=0.6753)","0.0216
(p=0.4466)"
DorsalAttentionA,"0.0265
(p=0.6004)","0.0573
(p=0.3297)","0.0245
(p=0.5534)","0.0043
(p=0.8691)","0.6502
(p=0.0010)","0.0200
(p=0.7622)","0.0043
(p=0.9481)","0.0054
(p=0.9141)","0.0458
(p=0.4685)","0.0044
(p=0.6154)","0.0004
(p=0.8691)","0.0082
(p=0.8621)","0.0654
(p=0.2368)","0.0010
(p=0.9441)","0.0260
(p=0.5285)","0.0012
(p=0.8212)","0.0573
(p=0.2627)"
ControlC,"0.0659
(p=0.2687)","0.0213
(p=0.5614)","0.0000
(p=0.8771)","0.0000
(p=0.9441)","0.0000
(p=0.9181)","0.4227
(p=0.0010)","0.1212
(p=0.0899)","0.1287
(p=0.0320)","0.0214
(p=0.7083)","0.0057
(p=0.5564)","0.0000
(p=0.8611)","0.0012
(p=0.9520)","0.0097
(p=0.6643)","0.0000
(p=0.9590)","0.0000
(p=0.8951)","0.0000
(p=0.8661)","0.0000
(p=0.7003)"
DefaultA,"0.0000
(p=0.9670)","0.0000
(p=0.9740)","0.0010
(p=0.8951)","0.0190
(p=0.7922)","0.0000
(p=0.9081)","0.0232
(p=0.8252)","0.6821
(p=0.0010)","0.0203
(p=0.8192)","0.0002
(p=0.9830)","0.0000
(p=0.7772)","0.0000
(p=0.8621)","0.2563
(p=0.0050)","0.0451
(p=0.4855)","0.0049
(p=0.9101)","0.0000
(p=0.9481)","0.0000
(p=0.8861)","0.0012
(p=0.7083)"
ControlB,"0.0033
(p=0.9151)","0.0548
(p=0.3636)","0.0000
(p=0.9540)","0.0221
(p=0.6613)","0.0000
(p=0.9630)","0.2623
(p=0.0020)","0.0657
(p=0.4835)","0.5731
(p=0.0010)","0.0000
(p=0.9940)","0.0000
(p=0.8162)","0.0000
(p=0.9221)","0.0539
(p=0.4665)","0.0035
(p=0.8412)","0.0005
(p=0.9670)","0.0000
(p=0.9680)","0.0003
(p=0.9111)","0.0000
(p=0.7463)"
Sal/VenAttnA,"0.1729
(p=0.0120)","0.0000
(p=0.9331)","0.0012
(p=0.8312)","0.0031
(p=0.8981)","0.0003
(p=0.8951)","0.0000
(p=0.9890)","0.0038
(p=0.9620)","0.0000
(p=0.9860)","0.5973
(p=0.0010)","0.0000
(p=0.7453)","0.0418
(p=0.3656)","0.0002
(p=0.9810)","0.0185
(p=0.6384)","0.0888
(p=0.3227)","0.0540
(p=0.3736)","0.0845
(p=0.3037)","0.0000
(p=0.7053)"
VisualB,"0.0048
(p=0.5894)","0.0000
(p=0.7522)","0.0547
(p=0.2308)","0.0009
(p=0.7123)","0.0000
(p=0.6663)","0.0000
(p=0.8931)","0.0002
(p=0.8841)","0.0000
(p=0.8472)","0.0037
(p=0.7522)","0.9097
(p=0.0010)","0.0056
(p=0.4446)","0.0000
(p=0.8651)","0.0513
(p=0.2717)","0.0101
(p=0.4815)","0.0027
(p=0.5894)","0.0000
(p=0.5854)","0.0000
(p=0.4406)"
SomatomotorA,"0.0043
(p=0.6873)","0.0000
(p=0.8452)","0.0036
(p=0.5385)","0.0000
(p=0.8761)","0.0000
(p=0.7373)","0.0000
(p=0.9540)","0.0000
(p=0.9471)","0.0000
(p=0.9401)","0.0550
(p=0.4795)","0.0000
(p=0.5075)","0.3976
(p=0.0010)","0.0000
(p=0.9401)","0.0000
(p=0.7473)","0.4466
(p=0.0110)","0.2922
(p=0.0509)","0.0427
(p=0.3367)","0.0000
(p=0.5005)"
DefaultB,"0.0247
(p=0.6394)","0.0006
(p=0.9301)","0.0000
(p=0.8631)","0.2281
(p=0.0090)","0.0000
(p=0.8951)","0.0127
(p=0.8022)","0.0955
(p=0.2967)","0.0308
(p=0.6643)","0.0000
(p=0.9690)","0.0000
(p=0.7323)","0.0000
(p=0.7822)","0.5200
(p=0.0010)","0.0000
(p=0.9001)","0.0000
(p=0.9550)","0.0000
(p=0.9301)","0.0000
(p=0.8312)","0.0000
(p=0.6953)"
DefaultC,"0.0000
(p=0.8591)","0.0000
(p=0.8052)","0.0202
(p=0.4915)","0.0048
(p=0.7602)","0.0007
(p=0.7313)","0.0863
(p=0.2118)","0.0521
(p=0.4186)","0.0193
(p=0.6204)","0.0028
(p=0.8811)","0.0300
(p=0.3277)","0.0000
(p=0.7223)","0.0240
(p=0.5724)","0.6722
(p=0.0010)","0.0000
(p=0.8771)","0.0000
(p=0.8072)","0.0000
(p=0.7163)","0.0375
(p=0.2707)"
SomatomotorB,"0.0100
(p=0.4675)","0.0000
(p=0.7073)","0.0000
(p=0.6324)","0.0068
(p=0.5395)","0.0000
(p=0.6264)","0.0000
(p=0.8641)","0.0002
(p=0.8821)","0.0000
(p=0.8352)","0.0226
(p=0.5185)","0.0000
(p=0.4486)","0.0300
(p=0.2737)","0.0044
(p=0.6933)","0.0000
(p=0.6623)","0.5442
(p=0.0010)","0.0481
(p=0.2517)","0.0736
(p=0.1918)","0.0000
(p=0.4216)"
DorsalAttentionB,"0.0010
(p=0.7453)","0.0007
(p=0.7612)","0.0374
(p=0.3217)","0.0000
(p=0.8302)","0.1129
(p=0.1389)","0.0000
(p=0.9361)","0.0000
(p=0.9411)","0.0000
(p=0.9361)","0.1313
(p=0.0599)","0.0000
(p=0.5624)","0.0220
(p=0.3856)","0.0000
(p=0.9241)","0.0016
(p=0.6334)","0.0006
(p=0.8382)","0.5469
(p=0.0010)","0.0000
(p=0.6613)","0.0000
(p=0.5375)"
Auditory,"0.0011
(p=0.6793)","0.0052
(p=0.6563)","0.0010
(p=0.6164)","0.2073
(p=0.0639)","0.0000
(p=0.6893)","0.0000
(p=0.9371)","0.0503
(p=0.4545)","0.0025
(p=0.7962)","0.0163
(p=0.6404)","0.0000
(p=0.5295)","0.0000
(p=0.5964)","0.0210
(p=0.5395)","0.0000
(p=0.7043)","0.0016
(p=0.7263)","0.0000
(p=0.6513)","0.7267
(p=0.0020)","0.0017
(p=0.4476)"
VisualC,"0.0000
(p=0.4875)","0.0000
(p=0.4895)","0.0024
(p=0.3297)","0.0030
(p=0.4705)","0.0000
(p=0.3676)","0.0000
(p=0.5534)","0.0021
(p=0.5524)","0.0000
(p=0.6334)","0.0000
(p=0.5964)","0.0000
(p=0.2537)","0.0000
(p=0.2577)","0.0229
(p=0.2617)","0.0000
(p=0.3936)","0.0000
(p=0.5065)","0.0000
(p=0.4486)","0.0000
(p=0.3067)","0.5718
(p=0.0010)"
