,Limbic,ControlA,VisualA,Language,DorsalAttentionA,Sal/VenAttnB,DefaultA,ControlB,Sal/VenAttnA,VisualB,SomatomotorA,DefaultB,DefaultC,SomatomotorB,DorsalAttentionB,Auditory,VisualC
VentralAttentionB,"0.0524
(p=0.4396)","0.0028
(p=0.9790)","0.0040
(p=0.9151)","0.0219
(p=0.6663)","0.1603
(p=0.0100)","0.2026
(p=0.0020)","0.0000
(p=0.9990)","0.0000
(p=0.9990)","0.4431
(p=0.0010)","0.0121
(p=0.7982)","0.0000
(p=0.9840)","0.0000
(p=0.9980)","0.0032
(p=0.9161)","0.0000
(p=0.8362)","0.0003
(p=0.9770)","0.0130
(p=0.6733)","0.0000
(p=0.5305)"
ControlA,"0.0742
(p=0.3047)","0.7080
(p=0.0010)","0.0011
(p=0.9660)","0.0007
(p=0.9770)","0.1961
(p=0.0050)","0.0255
(p=0.7502)","0.0002
(p=0.9970)","0.0021
(p=0.9860)","0.0009
(p=1.0000)","0.0000
(p=0.9930)","0.0000
(p=0.9850)","0.0000
(p=0.9990)","0.0103
(p=0.7792)","0.0000
(p=0.8711)","0.0000
(p=0.9940)","0.0024
(p=0.8811)","0.0000
(p=0.5175)"
VisualA,"0.0059
(p=0.4356)","0.0000
(p=0.8911)","0.8294
(p=0.0010)","0.0000
(p=0.8342)","0.0000
(p=0.9710)","0.0000
(p=0.9271)","0.0000
(p=0.9121)","0.0000
(p=0.9620)","0.0000
(p=0.9461)","0.1060
(p=0.2248)","0.0006
(p=0.7083)","0.0000
(p=0.8991)","0.0032
(p=0.6593)","0.0000
(p=0.5415)","0.0006
(p=0.7722)","0.0054
(p=0.4665)","0.0018
(p=0.2348)"
TemporalParietal,"0.0695
(p=0.2378)","0.0018
(p=0.9301)","0.0036
(p=0.7852)","0.6984
(p=0.0010)","0.0032
(p=0.9510)","0.0105
(p=0.7423)","0.0011
(p=0.9690)","0.0000
(p=0.9870)","0.0109
(p=0.8382)","0.0011
(p=0.8442)","0.0000
(p=0.9131)","0.0120
(p=0.8092)","0.0019
(p=0.8252)","0.0000
(p=0.7123)","0.0000
(p=0.8991)","0.1602
(p=0.0500)","0.0000
(p=0.3906)"
DorsalAttentionA,"0.0671
(p=0.3676)","0.0009
(p=0.9870)","0.1447
(p=0.0659)","0.0000
(p=0.9830)","0.6772
(p=0.0010)","0.0000
(p=0.9990)","0.0000
(p=0.9970)","0.0000
(p=0.9990)","0.0029
(p=0.9870)","0.0018
(p=0.9341)","0.0000
(p=0.9890)","0.0000
(p=0.9970)","0.0123
(p=0.7253)","0.0000
(p=0.8472)","0.0498
(p=0.3656)","0.0003
(p=0.9291)","0.0000
(p=0.4965)"
ControlC,"0.0517
(p=0.4056)","0.0417
(p=0.5115)","0.0000
(p=0.9820)","0.0258
(p=0.5155)","0.0009
(p=0.9980)","0.7264
(p=0.0010)","0.0055
(p=0.9680)","0.0718
(p=0.2867)","0.0010
(p=0.9960)","0.0005
(p=0.9790)","0.0000
(p=0.9810)","0.0091
(p=0.9141)","0.0231
(p=0.5864)","0.0000
(p=0.8422)","0.0000
(p=0.9850)","0.0003
(p=0.9441)","0.0000
(p=0.5345)"
DefaultA,"0.1805
(p=0.0500)","0.0009
(p=0.9860)","0.0026
(p=0.9011)","0.0005
(p=0.9870)","0.0000
(p=1.0000)","0.0024
(p=0.9880)","0.8233
(p=0.0010)","0.0381
(p=0.7363)","0.0000
(p=0.9970)","0.0019
(p=0.9391)","0.0000
(p=0.9670)","0.0053
(p=0.9750)","0.0449
(p=0.4196)","0.0000
(p=0.8262)","0.0005
(p=0.9750)","0.0002
(p=0.9081)","0.0000
(p=0.4655)"
ControlB,"0.1537
(p=0.0809)","0.1655
(p=0.0190)","0.0000
(p=0.9870)","0.0070
(p=0.9351)","0.0006
(p=1.0000)","0.0129
(p=0.9371)","0.0141
(p=0.9500)","0.7545
(p=0.0010)","0.0000
(p=0.9980)","0.0006
(p=0.9890)","0.0000
(p=0.9860)","0.0312
(p=0.7772)","0.0104
(p=0.8511)","0.0000
(p=0.8841)","0.0000
(p=0.9910)","0.0000
(p=0.9670)","0.0000
(p=0.5554)"
VentralAttentionA,"0.0372
(p=0.5085)","0.0000
(p=0.9940)","0.0101
(p=0.7892)","0.0013
(p=0.9391)","0.0066
(p=0.9690)","0.0000
(p=0.9950)","0.0000
(p=0.9910)","0.0000
(p=0.9960)","0.6852
(p=0.0010)","0.0281
(p=0.5634)","0.0280
(p=0.6673)","0.0000
(p=0.9900)","0.0000
(p=0.9590)","0.0206
(p=0.4575)","0.0359
(p=0.4805)","0.0495
(p=0.3866)","0.0000
(p=0.4336)"
VisualB,"0.0003
(p=0.5245)","0.0000
(p=0.9031)","0.0002
(p=0.7253)","0.0000
(p=0.8292)","0.0002
(p=0.9580)","0.0000
(p=0.9011)","0.0000
(p=0.9031)","0.0000
(p=0.9570)","0.0002
(p=0.9321)","0.8998
(p=0.0010)","0.0004
(p=0.6963)","0.0000
(p=0.8811)","0.0020
(p=0.6444)","0.0000
(p=0.5065)","0.0000
(p=0.8182)","0.0000
(p=0.6314)","0.0000
(p=0.2258)"
