,Sal/VenAttnB,ControlA,VisualA,Language,DorsalAttentionA,ControlC,DefaultA,ControlB,Sal/VenAttnA,VisualB,SomatomotorA,DefaultB,DefaultC,SomatomotorB,DorsalAttentionB,Auditory,VisualC,,,,,,,
Sal/VenAttnB,"0.2323
(p=0.0020)","0.0841
(p=0.1678)","0.0000
(p=0.9221)","0.0152
(p=0.7243)","0.0000
(p=0.9481)","0.3080
(p=0.0010)","0.0671
(p=0.4106)","0.1264
(p=0.0430)","0.0630
(p=0.3716)","0.0078
(p=0.6264)","0.0000
(p=0.9081)","0.0071
(p=0.8951)","0.0048
(p=0.7852)","0.0000
(p=0.9710)","0.0000
(p=0.9371)","0.0006
(p=0.8601)","0.0000
(p=0.7263)",,,,,,,
ControlA,"0.0144
(p=0.7742)","0.4586
(p=0.0010)","0.0008
(p=0.9091)","0.0336
(p=0.5774)","0.1077
(p=0.1538)","0.1462
(p=0.0220)","0.0337
(p=0.7203)","0.1910
(p=0.0130)","0.0020
(p=0.9600)","0.0000
(p=0.7562)","0.0000
(p=0.8472)","0.0071
(p=0.9111)","0.0021
(p=0.8232)","0.0000
(p=0.9461)","0.0000
(p=0.9500)","0.0000
(p=0.8581)","0.0065
(p=0.5724)",,,,,,,
VisualA,"0.0081
(p=0.6773)","0.0261
(p=0.4955)","0.5220
(p=0.0010)","0.0000
(p=0.8971)","0.2377
(p=0.0400)","0.0000
(p=0.9520)","0.0000
(p=0.9630)","0.0000
(p=0.9441)","0.0011
(p=0.8921)","0.0017
(p=0.4486)","0.0022
(p=0.6623)","0.0007
(p=0.8971)","0.0045
(p=0.6194)","0.0000
(p=0.8721)","0.0028
(p=0.6913)","0.0000
(p=0.7093)","0.2566
(p=0.0490)",,,,,,,
Language,"0.0610
(p=0.2218)","0.0871
(p=0.1359)","0.0000
(p=0.8332)","0.4510
(p=0.0010)","0.0000
(p=0.8012)","0.0000
(p=0.9201)","0.0080
(p=0.8691)","0.0074
(p=0.8452)","0.0014
(p=0.9151)","0.0068
(p=0.5574)","0.0000
(p=0.5964)","0.0774
(p=0.2028)","0.0027
(p=0.7243)","0.0009
(p=0.8761)","0.0000
(p=0.9051)","0.0060
(p=0.6084)","0.0000
(p=0.6563)",,,,,,,
DorsalAttentionA,"0.0680
(p=0.3367)","0.1088
(p=0.1459)","0.0324
(p=0.6204)","0.0202
(p=0.7782)","0.4909
(p=0.0010)","0.0434
(p=0.5884)","0.0092
(p=0.9620)","0.0154
(p=0.8781)","0.1205
(p=0.0819)","0.0050
(p=0.7443)","0.0003
(p=0.9341)","0.0041
(p=0.9760)","0.1020
(p=0.1009)","0.0009
(p=0.9770)","0.0385
(p=0.5385)","0.0011
(p=0.9081)","0.0498
(p=0.3676)",,,,,,,
Limbic,"0.0073
(p=0.5215)","0.0000
(p=0.7473)","0.0097
(p=0.3916)","0.0709
(p=0.2647)","0.0000
(p=0.5974)","0.0006
(p=0.8581)","0.2174
(p=0.0719)","0.2007
(p=0.0210)","0.0008
(p=0.8202)","0.0027
(p=0.3217)","0.0000
(p=0.5215)","0.2054
(p=0.0729)","0.0613
(p=0.3027)","0.0101
(p=0.5175)","0.0000
(p=0.5534)","0.0537
(p=0.2388)","0.0713
(p=0.1908)",,,,,,,
DefaultA,"0.0000
(p=0.9650)","0.0003
(p=0.9560)","0.0011
(p=0.8901)","0.0267
(p=0.6893)","0.0000
(p=0.8951)","0.0283
(p=0.7083)","0.5640
(p=0.0010)","0.0147
(p=0.8392)","0.0000
(p=0.9850)","0.0013
(p=0.7073)","0.0000
(p=0.8482)","0.1995
(p=0.0240)","0.1004
(p=0.1538)","0.0038
(p=0.9061)","0.0000
(p=0.9500)","0.0000
(p=0.8721)","0.0000
(p=0.7483)",,,,,,,
ControlB,"0.0077
(p=0.8881)","0.0604
(p=0.3377)","0.0000
(p=0.9660)","0.0327
(p=0.5644)","0.0000
(p=0.9690)","0.3485
(p=0.0020)","0.1355
(p=0.1169)","0.3587
(p=0.0010)","0.0000
(p=0.9980)","0.0000
(p=0.8422)","0.0000
(p=0.9361)","0.0621
(p=0.4216)","0.0094
(p=0.7572)","0.0000
(p=0.9770)","0.0000
(p=0.9860)","0.0000
(p=0.9620)","0.0000
(p=0.7952)",,,,,,,
Sal/VenAttnA,"0.4248
(p=0.0010)","0.0836
(p=0.2418)","0.0051
(p=0.7952)","0.0271
(p=0.6923)","0.0014
(p=0.9071)","0.0057
(p=0.9710)","0.0059
(p=0.9620)","0.0005
(p=0.9930)","0.4358
(p=0.0020)","0.0000
(p=0.8212)","0.0259
(p=0.4915)","0.0017
(p=0.9710)","0.0042
(p=0.8342)","0.0422
(p=0.5694)","0.0390
(p=0.5255)","0.1020
(p=0.2737)","0.0005
(p=0.7532)",,,,,,,
VisualB,"0.0045
(p=0.6903)","0.0002
(p=0.8841)","0.3496
(p=0.0420)","0.0005
(p=0.8741)","0.0000
(p=0.8042)","0.0000
(p=0.9590)","0.0005
(p=0.9550)","0.0000
(p=0.9520)","0.0197
(p=0.6374)","0.7141
(p=0.0010)","0.0065
(p=0.5425)","0.0032
(p=0.8631)","0.0566
(p=0.3087)","0.0230
(p=0.4905)","0.0026
(p=0.7093)","0.0000
(p=0.7153)","0.0272
(p=0.2428)",,,,,,,
SomatomotorA,"0.0046
(p=0.6863)","0.0000
(p=0.8412)","0.0037
(p=0.5405)","0.0000
(p=0.8771)","0.0000
(p=0.7393)","0.0000
(p=0.9580)","0.0000
(p=0.9560)","0.0000
(p=0.9441)","0.0719
(p=0.4386)","0.0000
(p=0.5445)","0.3590
(p=0.0010)","0.0000
(p=0.9471)","0.0000
(p=0.7712)","0.5191
(p=0.0040)","0.2691
(p=0.0669)","0.0582
(p=0.3137)","0.0000
(p=0.5265)",,,,,,,
DefaultB,"0.0296
(p=0.6174)","0.0021
(p=0.9161)","0.0000
(p=0.8821)","0.1876
(p=0.0290)","0.0000
(p=0.9021)","0.0072
(p=0.8671)","0.1595
(p=0.0509)","0.0425
(p=0.5764)","0.0000
(p=0.9760)","0.0000
(p=0.7562)","0.0000
(p=0.8192)","0.4831
(p=0.0010)","0.0000
(p=0.9061)","0.0000
(p=0.9630)","0.0000
(p=0.9401)","0.0000
(p=0.8442)","0.0000
(p=0.7183)",,,,,,,
DefaultC,"0.0000
(p=0.9181)","0.0016
(p=0.7842)","0.0246
(p=0.4915)","0.0215
(p=0.4905)","0.0008
(p=0.7832)","0.1267
(p=0.0410)","0.0252
(p=0.6054)","0.0160
(p=0.6404)","0.0018
(p=0.8971)","0.0256
(p=0.3397)","0.0000
(p=0.7732)","0.0106
(p=0.7183)","0.5586
(p=0.0010)","0.0000
(p=0.9251)","0.0000
(p=0.8501)","0.0015
(p=0.6743)","0.0000
(p=0.5904)",,,,,,,
SomatomotorB,"0.0114
(p=0.4086)","0.0032
(p=0.4995)","0.0000
(p=0.4915)","0.0089
(p=0.4635)","0.0000
(p=0.5025)","0.0000
(p=0.7483)","0.0002
(p=0.8112)","0.0000
(p=0.7762)","0.0276
(p=0.4056)","0.0000
(p=0.3636)","0.0115
(p=0.3197)","0.0000
(p=0.7802)","0.0000
(p=0.5425)","0.4437
(p=0.0010)","0.0494
(p=0.2048)","0.0720
(p=0.1618)","0.0000
(p=0.3397)",,,,,,,
DorsalAttentionB,"0.0020
(p=0.7652)","0.0004
(p=0.8641)","0.0162
(p=0.4535)","0.0000
(p=0.9091)","0.1012
(p=0.1618)","0.0000
(p=0.9680)","0.0004
(p=0.9580)","0.0000
(p=0.9740)","0.1640
(p=0.0200)","0.0000
(p=0.6923)","0.0508
(p=0.2368)","0.0000
(p=0.9650)","0.0008
(p=0.7592)","0.0025
(p=0.8172)","0.5331
(p=0.0010)","0.0027
(p=0.5974)","0.0004
(p=0.6084)",,,,,,,
Auditory,"0.0013
(p=0.6344)","0.0095
(p=0.5165)","0.0064
(p=0.4416)","0.2175
(p=0.0529)","0.0000
(p=0.6394)","0.0000
(p=0.9091)","0.0000
(p=0.9061)","0.0000
(p=0.8911)","0.0079
(p=0.6444)","0.0000
(p=0.5215)","0.0000
(p=0.5714)","0.0014
(p=0.8062)","0.0000
(p=0.6673)","0.0010
(p=0.6843)","0.0000
(p=0.6414)","0.6916
(p=0.0020)","0.0119
(p=0.2547)",,,,,,,
VisualC,"0.0000
(p=0.3616)","0.0000
(p=0.3277)","0.0109
(p=0.1918)","0.0000
(p=0.3676)","0.0000
(p=0.2597)","0.0000
(p=0.4446)","0.0000
(p=0.4865)","0.0000
(p=0.4426)","0.0000
(p=0.4246)","0.0000
(p=0.1359)","0.0000
(p=0.2138)","0.0000
(p=0.4386)","0.0000
(p=0.2557)","0.0000
(p=0.3277)","0.0000
(p=0.2937)","0.0000
(p=0.2218)","0.5683
(p=0.0020)",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
