,Limbic,ControlA,VisualA,Language,DorsalAttentionA,Sal/VenAttnB,DefaultA,ControlB,Sal/VenAttnA,VisualB,SomatomotorA,DefaultB,DefaultC,SomatomotorB,DorsalAttentionB,Auditory,VisualC
Sal/VenAttnB,"0.0413
(p=0.4406)","0.0047
(p=0.9461)","0.0088
(p=0.7842)","0.0276
(p=0.5285)","0.0990
(p=0.1439)","0.3090
(p=0.0010)","0.0000
(p=0.9960)","0.0046
(p=0.9690)","0.4016
(p=0.0010)","0.0005
(p=0.9391)","0.0000
(p=0.9620)","0.0028
(p=0.9660)","0.0000
(p=0.9560)","0.0026
(p=0.6773)","0.0017
(p=0.8941)","0.0003
(p=0.9011)","0.0000
(p=0.4915)"
ControlA,"0.0085
(p=0.8082)","0.8135
(p=0.0010)","0.0008
(p=0.9331)","0.0000
(p=0.9830)","0.1078
(p=0.1319)","0.0437
(p=0.4725)","0.0000
(p=0.9950)","0.0144
(p=0.8561)","0.0014
(p=0.9910)","0.0000
(p=0.9720)","0.0000
(p=0.9660)","0.0000
(p=0.9920)","0.0187
(p=0.6274)","0.0000
(p=0.7842)","0.0000
(p=0.9710)","0.0021
(p=0.7962)","0.0000
(p=0.4316)"
VisualA,"0.0131
(p=0.4126)","0.0000
(p=0.9481)","0.7200
(p=0.0010)","0.0000
(p=0.8791)","0.0184
(p=0.7852)","0.0000
(p=0.9650)","0.0000
(p=0.9461)","0.0000
(p=0.9900)","0.0017
(p=0.9151)","0.3006
(p=0.0999)","0.0004
(p=0.7742)","0.0000
(p=0.9221)","0.0172
(p=0.6014)","0.0000
(p=0.6024)","0.0000
(p=0.9031)","0.0079
(p=0.4685)","0.0227
(p=0.2028)"
Language,"0.1109
(p=0.1179)","0.0303
(p=0.5914)","0.0019
(p=0.8322)","0.7351
(p=0.0010)","0.0149
(p=0.8322)","0.0241
(p=0.5485)","0.0006
(p=0.9870)","0.0022
(p=0.9520)","0.0129
(p=0.8402)","0.0005
(p=0.8951)","0.0000
(p=0.8951)","0.0425
(p=0.5764)","0.0005
(p=0.9061)","0.0045
(p=0.5544)","0.0000
(p=0.9291)","0.0331
(p=0.3916)","0.0000
(p=0.3906)"
DorsalAttentionA,"0.0141
(p=0.6004)","0.0063
(p=0.8861)","0.1310
(p=0.1009)","0.0000
(p=0.9580)","0.7303
(p=0.0010)","0.0006
(p=0.9820)","0.0000
(p=0.9860)","0.0000
(p=0.9990)","0.0009
(p=0.9930)","0.0000
(p=0.9500)","0.0000
(p=0.9451)","0.0000
(p=0.9890)","0.0019
(p=0.8541)","0.0000
(p=0.7522)","0.0133
(p=0.6364)","0.0000
(p=0.8901)","0.0000
(p=0.4266)"
ControlC,"0.0225
(p=0.5604)","0.0194
(p=0.7283)","0.0000
(p=0.9271)","0.0004
(p=0.9081)","0.0021
(p=0.9800)","0.6125
(p=0.0010)","0.0019
(p=0.9600)","0.1779
(p=0.0070)","0.0005
(p=0.9850)","0.0000
(p=0.9391)","0.0000
(p=0.9261)","0.0259
(p=0.6084)","0.0207
(p=0.5724)","0.0000
(p=0.7323)","0.0000
(p=0.9530)","0.0000
(p=0.8611)","0.0000
(p=0.4256)"
DefaultA,"0.1799
(p=0.0859)","0.0185
(p=0.8531)","0.0004
(p=0.9351)","0.0015
(p=0.9740)","0.0041
(p=0.9860)","0.0034
(p=0.9750)","0.8061
(p=0.0010)","0.0640
(p=0.5315)","0.0005
(p=0.9940)","0.0018
(p=0.9341)","0.0000
(p=0.9600)","0.0833
(p=0.3626)","0.0078
(p=0.8202)","0.0000
(p=0.8142)","0.0005
(p=0.9740)","0.0004
(p=0.8821)","0.0000
(p=0.4326)"
ControlB,"0.1855
(p=0.0300)","0.0816
(p=0.2218)","0.0000
(p=0.9600)","0.0003
(p=0.9720)","0.0000
(p=0.9980)","0.0085
(p=0.9271)","0.0060
(p=0.9530)","0.7147
(p=0.0010)","0.0000
(p=0.9960)","0.0002
(p=0.9720)","0.0000
(p=0.9720)","0.0125
(p=0.8561)","0.0054
(p=0.8392)","0.0000
(p=0.8102)","0.0000
(p=0.9630)","0.0000
(p=0.9121)","0.0000
(p=0.4466)"
Sal/VenAttnA,"0.0071
(p=0.6913)","0.0000
(p=0.9880)","0.0005
(p=0.8871)","0.0010
(p=0.9221)","0.0594
(p=0.4805)","0.0047
(p=0.9431)","0.0000
(p=0.9870)","0.0000
(p=0.9970)","0.6803
(p=0.0010)","0.0202
(p=0.5844)","0.0517
(p=0.5185)","0.0000
(p=0.9850)","0.0000
(p=0.9471)","0.0059
(p=0.5764)","0.0724
(p=0.2517)","0.0019
(p=0.7742)","0.0000
(p=0.4416)"
VisualB,"0.0009
(p=0.4565)","0.0000
(p=0.8691)","0.0003
(p=0.6803)","0.0000
(p=0.7852)","0.0016
(p=0.9061)","0.0025
(p=0.7922)","0.0000
(p=0.8671)","0.0000
(p=0.9311)","0.0000
(p=0.9161)","0.7873
(p=0.0010)","0.0008
(p=0.6234)","0.0000
(p=0.8472)","0.0053
(p=0.5614)","0.0000
(p=0.4695)","0.0000
(p=0.7752)","0.0003
(p=0.5834)","0.0000
(p=0.1808)"
SomatomotorA,"0.0000
(p=0.5824)","0.0000
(p=0.9371)","0.0006
(p=0.7003)","0.0000
(p=0.9051)","0.0000
(p=0.9860)","0.0000
(p=0.9401)","0.0000
(p=0.9421)","0.0000
(p=0.9720)","0.0052
(p=0.8511)","0.0019
(p=0.7143)","0.8973
(p=0.0010)","0.0000
(p=0.9221)","0.0000
(p=0.8791)","0.0011
(p=0.5385)","0.0401
(p=0.3896)","0.0007
(p=0.6374)","0.0000
(p=0.2657)"
DefaultB,"0.0205
(p=0.5834)","0.0000
(p=0.9790)","0.0000
(p=0.9431)","0.0459
(p=0.4006)","0.0013
(p=0.9930)","0.0081
(p=0.8841)","0.0240
(p=0.8162)","0.0371
(p=0.6144)","0.0000
(p=0.9960)","0.0000
(p=0.9471)","0.0000
(p=0.9181)","0.8292
(p=0.0010)","0.0235
(p=0.5814)","0.0000
(p=0.7483)","0.0000
(p=0.9451)","0.0048
(p=0.6893)","0.0000
(p=0.4046)"
DefaultC,"0.1686
(p=0.0519)","0.0027
(p=0.8641)","0.0009
(p=0.7532)","0.0246
(p=0.4545)","0.0225
(p=0.6593)","0.0007
(p=0.9201)","0.0511
(p=0.4006)","0.0070
(p=0.8721)","0.0003
(p=0.9630)","0.0133
(p=0.5774)","0.0000
(p=0.7892)","0.0000
(p=0.9381)","0.7284
(p=0.0010)","0.0000
(p=0.5554)","0.0000
(p=0.8661)","0.0000
(p=0.7263)","0.0000
(p=0.2617)"
SomatomotorB,"0.0040
(p=0.3996)","0.0000
(p=0.8172)","0.0000
(p=0.7023)","0.0000
(p=0.7632)","0.0003
(p=0.9061)","0.0000
(p=0.8601)","0.0000
(p=0.8741)","0.0000
(p=0.9021)","0.0049
(p=0.7183)","0.0152
(p=0.3906)","0.1126
(p=0.1558)","0.0000
(p=0.8551)","0.0000
(p=0.7512)","0.8575
(p=0.0010)","0.0043
(p=0.5325)","0.0028
(p=0.4565)","0.0000
(p=0.1988)"
DorsalAttentionB,"0.0000
(p=0.6324)","0.0000
(p=0.9101)","0.0323
(p=0.3776)","0.0000
(p=0.8432)","0.0329
(p=0.5015)","0.0000
(p=0.9371)","0.0000
(p=0.9341)","0.0000
(p=0.9770)","0.0069
(p=0.8032)","0.0003
(p=0.7842)","0.0343
(p=0.4066)","0.0000
(p=0.9261)","0.0000
(p=0.8192)","0.0009
(p=0.5065)","0.8319
(p=0.0010)","0.0018
(p=0.5774)","0.0000
(p=0.2877)"
Auditory,"0.1506
(p=0.1538)","0.0000
(p=0.9011)","0.0000
(p=0.7612)","0.0257
(p=0.4306)","0.0033
(p=0.8891)","0.0049
(p=0.8002)","0.0012
(p=0.8701)","0.0005
(p=0.9670)","0.0405
(p=0.5085)","0.0004
(p=0.7333)","0.0145
(p=0.4715)","0.0021
(p=0.8092)","0.0052
(p=0.6334)","0.0000
(p=0.5015)","0.0000
(p=0.8282)","0.8367
(p=0.0010)","0.0000
(p=0.2697)"
VisualC,"0.0413
(p=0.1299)","0.0000
(p=0.5904)","0.0145
(p=0.2617)","0.0000
(p=0.5694)","0.0024
(p=0.6264)","0.0000
(p=0.5944)","0.0000
(p=0.6304)","0.0000
(p=0.6623)","0.0000
(p=0.7053)","0.0030
(p=0.3566)","0.0000
(p=0.4326)","0.0000
(p=0.6204)","0.0000
(p=0.4625)","0.0000
(p=0.2707)","0.0006
(p=0.5015)","0.0030
(p=0.2677)","0.8828
(p=0.0010)"
