subject	parcel	z_value	domain	contrast_name	dtype
2	VIS-P	1.0998577	Sentence_Processing	SENTmCTRL	rest
3	VIS-P	0.32748473	Sentence_Processing	SENTmCTRL	rest
4	VIS-P	1.0882139	Sentence_Processing	SENTmCTRL	rest
6	VIS-P	1.5112374	Sentence_Processing	SENTmCTRL	rest
7	VIS-P	0.5803214	Sentence_Processing	SENTmCTRL	rest
8	VIS-P	0.18841815	Sentence_Processing	SENTmCTRL	rest
9	VIS-P	1.3060819	Sentence_Processing	SENTmCTRL	rest
12	VIS-P	0.80440474	Sentence_Processing	SENTmCTRL	rest
13	VIS-P	1.0229952	Sentence_Processing	SENTmCTRL	rest
14	VIS-P	-0.04028939	Sentence_Processing	SENTmCTRL	rest
15	VIS-P	1.3302037	Sentence_Processing	SENTmCTRL	rest
2	CG-OP	-0.4282439	Sentence_Processing	SENTmCTRL	rest
3	CG-OP	-0.41172644	Sentence_Processing	SENTmCTRL	rest
4	CG-OP	-0.31321317	Sentence_Processing	SENTmCTRL	rest
6	CG-OP	-0.21864009	Sentence_Processing	SENTmCTRL	rest
7	CG-OP	-0.6353941	Sentence_Processing	SENTmCTRL	rest
8	CG-OP	0.05099191	Sentence_Processing	SENTmCTRL	rest
9	CG-OP	-0.39828736	Sentence_Processing	SENTmCTRL	rest
12	CG-OP	-0.20929167	Sentence_Processing	SENTmCTRL	rest
13	CG-OP	0.3957083	Sentence_Processing	SENTmCTRL	rest
14	CG-OP	-0.6159756	Sentence_Processing	SENTmCTRL	rest
15	CG-OP	0.7693548	Sentence_Processing	SENTmCTRL	rest
2	DN-B	2.9408731	Sentence_Processing	SENTmCTRL	rest
3	DN-B	1.9414288	Sentence_Processing	SENTmCTRL	rest
4	DN-B	1.2412043	Sentence_Processing	SENTmCTRL	rest
6	DN-B	1.883472	Sentence_Processing	SENTmCTRL	rest
7	DN-B	1.1967425	Sentence_Processing	SENTmCTRL	rest
8	DN-B	2.7949803	Sentence_Processing	SENTmCTRL	rest
9	DN-B	0.7812759	Sentence_Processing	SENTmCTRL	rest
12	DN-B	1.4520795	Sentence_Processing	SENTmCTRL	rest
13	DN-B	1.5305848	Sentence_Processing	SENTmCTRL	rest
14	DN-B	0.18017595	Sentence_Processing	SENTmCTRL	rest
15	DN-B	-0.57172	Sentence_Processing	SENTmCTRL	rest
2	SMOT-B	-0.6500724	Sentence_Processing	SENTmCTRL	rest
3	SMOT-B	-0.19045526	Sentence_Processing	SENTmCTRL	rest
4	SMOT-B	0.0017168028	Sentence_Processing	SENTmCTRL	rest
6	SMOT-B	0.6785658	Sentence_Processing	SENTmCTRL	rest
7	SMOT-B	-0.5198834	Sentence_Processing	SENTmCTRL	rest
8	SMOT-B	0.1676456	Sentence_Processing	SENTmCTRL	rest
9	SMOT-B	1.7831732	Sentence_Processing	SENTmCTRL	rest
12	SMOT-B	0.49231976	Sentence_Processing	SENTmCTRL	rest
13	SMOT-B	0.46825564	Sentence_Processing	SENTmCTRL	rest
14	SMOT-B	-0.40695012	Sentence_Processing	SENTmCTRL	rest
15	SMOT-B	0.22052366	Sentence_Processing	SENTmCTRL	rest
2	AUD	1.0231305	Sentence_Processing	SENTmCTRL	rest
3	AUD	1.7622145	Sentence_Processing	SENTmCTRL	rest
4	AUD	2.0286334	Sentence_Processing	SENTmCTRL	rest
6	AUD	3.9641774	Sentence_Processing	SENTmCTRL	rest
7	AUD	0.65435493	Sentence_Processing	SENTmCTRL	rest
8	AUD	1.8582512	Sentence_Processing	SENTmCTRL	rest
