subject	parcel	z_value	domain	contrast_name	dtype
2	VIS-P	-7.7490187	Motor	TONGUEmALL	rest
3	VIS-P	-0.121647246	Motor	TONGUEmALL	rest
4	VIS-P	-2.7050917	Motor	TONGUEmALL	rest
6	VIS-P	1.7066939	Motor	TONGUEmALL	rest
7	VIS-P	-0.3325938	Motor	TONGUEmALL	rest
8	VIS-P	-3.1186101	Motor	TONGUEmALL	rest
9	VIS-P	0.036690146	Motor	TONGUEmALL	rest
12	VIS-P	-2.906594	Motor	TONGUEmALL	rest
13	VIS-P	-2.065114	Motor	TONGUEmALL	rest
14	VIS-P	-0.40412247	Motor	TONGUEmALL	rest
15	VIS-P	-2.688914	Motor	TONGUEmALL	rest
2	CG-OP	0.4527883	Motor	TONGUEmALL	rest
3	CG-OP	1.2780043	Motor	TONGUEmALL	rest
4	CG-OP	-1.7575403	Motor	TONGUEmALL	rest
6	CG-OP	6.8769965	Motor	TONGUEmALL	rest
7	CG-OP	2.6836784	Motor	TONGUEmALL	rest
8	CG-OP	7.0838885	Motor	TONGUEmALL	rest
9	CG-OP	-3.839507	Motor	TONGUEmALL	rest
12	CG-OP	-2.5504866	Motor	TONGUEmALL	rest
13	CG-OP	-0.2586059	Motor	TONGUEmALL	rest
14	CG-OP	-0.098350696	Motor	TONGUEmALL	rest
15	CG-OP	2.3840737	Motor	TONGUEmALL	rest
2	DN-B	4.43238	Motor	TONGUEmALL	rest
3	DN-B	2.3629248	Motor	TONGUEmALL	rest
4	DN-B	6.077078	Motor	TONGUEmALL	rest
6	DN-B	-3.7129931	Motor	TONGUEmALL	rest
7	DN-B	-0.52087885	Motor	TONGUEmALL	rest
8	DN-B	-2.4655368	Motor	TONGUEmALL	rest
9	DN-B	3.2465558	Motor	TONGUEmALL	rest
12	DN-B	3.0621917	Motor	TONGUEmALL	rest
13	DN-B	-0.9983904	Motor	TONGUEmALL	rest
14	DN-B	1.8150755	Motor	TONGUEmALL	rest
15	DN-B	-2.7309742	Motor	TONGUEmALL	rest
2	SMOT-B	34.317303	Motor	TONGUEmALL	rest
3	SMOT-B	31.403526	Motor	TONGUEmALL	rest
4	SMOT-B	7.79741	Motor	TONGUEmALL	rest
6	SMOT-B	37.194527	Motor	TONGUEmALL	rest
7	SMOT-B	28.630817	Motor	TONGUEmALL	rest
8	SMOT-B	26.63518	Motor	TONGUEmALL	rest
9	SMOT-B	11.44142	Motor	TONGUEmALL	rest
12	SMOT-B	21.820066	Motor	TONGUEmALL	rest
13	SMOT-B	5.901745	Motor	TONGUEmALL	rest
14	SMOT-B	11.127963	Motor	TONGUEmALL	rest
15	SMOT-B	14.501176	Motor	TONGUEmALL	rest
2	AUD	1.2801336	Motor	TONGUEmALL	rest
3	AUD	2.0889955	Motor	TONGUEmALL	rest
4	AUD	0.9502606	Motor	TONGUEmALL	rest
6	AUD	-0.78936666	Motor	TONGUEmALL	rest
7	AUD	-0.6714085	Motor	TONGUEmALL	rest
8	AUD	-1.6810861	Motor	TONGUEmALL	rest
9	AUD	-0.70513326	Motor	TONGUEmALL	rest
12	AUD	0.16574624	Motor	TONGUEmALL	rest
13	AUD	-0.98481935	Motor	TONGUEmALL	rest
14	AUD	-0.26465353	Motor	TONGUEmALL	rest
15	AUD	-0.61673653	Motor	TONGUEmALL	rest
2	PM-PPr	-4.80838	Motor	TONGUEmALL	rest
3	PM-PPr	2.457798	Motor	TONGUEmALL	rest
4	PM-PPr	-0.37124884	Motor	TONGUEmALL	rest
6	PM-PPr	8.59836	Motor	TONGUEmALL	rest
7	PM-PPr	11.03217	Motor	TONGUEmALL	rest
8	PM-PPr	13.060006	Motor	TONGUEmALL	rest
9	PM-PPr	0.8410974	Motor	TONGUEmALL	rest
12	PM-PPr	2.8540769	Motor	TONGUEmALL	rest
13	PM-PPr	0.574888	Motor	TONGUEmALL	rest
14	PM-PPr	0.059986696	Motor	TONGUEmALL	rest
15	PM-PPr	11.157917	Motor	TONGUEmALL	rest
2	dATN-B	-6.330664	Motor	TONGUEmALL	rest
3	dATN-B	-2.5146213	Motor	TONGUEmALL	rest
4	dATN-B	-1.184863	Motor	TONGUEmALL	rest
6	dATN-B	-0.8672687	Motor	TONGUEmALL	rest
7	dATN-B	-3.2785199	Motor	TONGUEmALL	rest
