subject	parcel	z_value	domain	contrast_name	dtype
2	VIS-P	-0.16925916	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	VIS-P	0.077595256	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	VIS-P	0.25687742	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	VIS-P	0.2596335	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	VIS-P	0.5777394	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	VIS-P	0.09160901	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	VIS-P	-0.044542916	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	VIS-P	0.696097	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	VIS-P	0.0043488345	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	VIS-P	-0.41751382	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	VIS-P	0.50452423	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	CG-OP	-0.6855966	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	CG-OP	-0.58799875	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	CG-OP	-1.4937806	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	CG-OP	-1.3308172	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	CG-OP	-1.2179343	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	CG-OP	-0.8119846	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	CG-OP	-0.69975615	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	CG-OP	-1.7869511	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	CG-OP	-1.7232082	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	CG-OP	-0.5244653	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	CG-OP	-0.59318733	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	DN-B	1.9612397	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	DN-B	1.5242751	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	DN-B	1.7139536	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	DN-B	2.768528	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	DN-B	2.3485956	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	DN-B	1.1447743	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	DN-B	1.6853789	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	DN-B	2.8988047	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	DN-B	3.0772867	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	DN-B	1.8155788	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	DN-B	1.8601468	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	SMOT-B	-0.010212128	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	SMOT-B	-0.1605877	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	SMOT-B	-0.8621641	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	SMOT-B	0.4330312	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	SMOT-B	-0.31545419	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	SMOT-B	-0.25945416	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	SMOT-B	0.14853755	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	SMOT-B	-0.99326533	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	SMOT-B	0.32556427	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	SMOT-B	0.025988964	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	SMOT-B	0.05753376	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	AUD	0.24279967	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	AUD	0.27060345	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	AUD	0.25732452	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	AUD	0.55998653	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	AUD	0.17281385	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	AUD	0.24747832	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	AUD	0.18919107	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	AUD	0.6765593	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	AUD	0.6402765	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	AUD	0.31621295	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	AUD	0.61524904	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	PM-PPr	0.10320913	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	PM-PPr	-0.32933983	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	PM-PPr	-1.5058119	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	PM-PPr	-0.15589164	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	PM-PPr	-1.7802643	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	PM-PPr	-0.30883938	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
