subject	parcel	z_value	domain	contrast_name	dtype
2	VIS-P	-3.3783913	Visual	ECC1mECC2+3	rest
3	VIS-P	-6.1498613	Visual	ECC1mECC2+3	rest
4	VIS-P	-6.5506415	Visual	ECC1mECC2+3	rest
6	VIS-P	-6.7115216	Visual	ECC1mECC2+3	rest
7	VIS-P	-5.0486655	Visual	ECC1mECC2+3	rest
8	VIS-P	-3.9977078	Visual	ECC1mECC2+3	rest
9	VIS-P	-3.6680562	Visual	ECC1mECC2+3	rest
12	VIS-P	-6.275293	Visual	ECC1mECC2+3	rest
13	VIS-P	-9.171443	Visual	ECC1mECC2+3	rest
14	VIS-P	-6.975727	Visual	ECC1mECC2+3	rest
15	VIS-P	-6.4826374	Visual	ECC1mECC2+3	rest
2	CG-OP	0.9921198	Visual	ECC1mECC2+3	rest
3	CG-OP	0.7511935	Visual	ECC1mECC2+3	rest
4	CG-OP	0.6085019	Visual	ECC1mECC2+3	rest
6	CG-OP	0.41524646	Visual	ECC1mECC2+3	rest
7	CG-OP	1.6434369	Visual	ECC1mECC2+3	rest
8	CG-OP	0.13555163	Visual	ECC1mECC2+3	rest
9	CG-OP	-0.48317412	Visual	ECC1mECC2+3	rest
12	CG-OP	0.699975	Visual	ECC1mECC2+3	rest
13	CG-OP	-1.050916	Visual	ECC1mECC2+3	rest
14	CG-OP	0.23636988	Visual	ECC1mECC2+3	rest
15	CG-OP	-0.10763947	Visual	ECC1mECC2+3	rest
2	DN-B	1.3154634	Visual	ECC1mECC2+3	rest
3	DN-B	0.17422548	Visual	ECC1mECC2+3	rest
4	DN-B	0.7360895	Visual	ECC1mECC2+3	rest
6	DN-B	1.0674974	Visual	ECC1mECC2+3	rest
7	DN-B	0.86583596	Visual	ECC1mECC2+3	rest
8	DN-B	-0.1584719	Visual	ECC1mECC2+3	rest
9	DN-B	1.0734195	Visual	ECC1mECC2+3	rest
12	DN-B	0.6364602	Visual	ECC1mECC2+3	rest
13	DN-B	3.290365	Visual	ECC1mECC2+3	rest
14	DN-B	0.6842019	Visual	ECC1mECC2+3	rest
15	DN-B	0.048718963	Visual	ECC1mECC2+3	rest
2	SMOT-B	1.0955033	Visual	ECC1mECC2+3	rest
3	SMOT-B	-0.0043052775	Visual	ECC1mECC2+3	rest
4	SMOT-B	0.79671025	Visual	ECC1mECC2+3	rest
6	SMOT-B	1.3710229	Visual	ECC1mECC2+3	rest
7	SMOT-B	1.9810418	Visual	ECC1mECC2+3	rest
8	SMOT-B	-0.06768772	Visual	ECC1mECC2+3	rest
9	SMOT-B	-1.3874745	Visual	ECC1mECC2+3	rest
12	SMOT-B	-0.04676814	Visual	ECC1mECC2+3	rest
13	SMOT-B	-0.2669891	Visual	ECC1mECC2+3	rest
14	SMOT-B	0.7374906	Visual	ECC1mECC2+3	rest
15	SMOT-B	0.104252756	Visual	ECC1mECC2+3	rest
2	AUD	0.55822104	Visual	ECC1mECC2+3	rest
3	AUD	-0.060707998	Visual	ECC1mECC2+3	rest
4	AUD	0.052020345	Visual	ECC1mECC2+3	rest
6	AUD	0.9510566	Visual	ECC1mECC2+3	rest
7	AUD	0.5837318	Visual	ECC1mECC2+3	rest
8	AUD	0.15130171	Visual	ECC1mECC2+3	rest
9	AUD	-0.4359154	Visual	ECC1mECC2+3	rest
12	AUD	0.33437774	Visual	ECC1mECC2+3	rest
13	AUD	0.8777575	Visual	ECC1mECC2+3	rest
14	AUD	0.52912384	Visual	ECC1mECC2+3	rest
15	AUD	0.0009539139	Visual	ECC1mECC2+3	rest
2	PM-PPr	-0.38685393	Visual	ECC1mECC2+3	rest
3	PM-PPr	0.8333696	Visual	ECC1mECC2+3	rest
4	PM-PPr	0.96080077	Visual	ECC1mECC2+3	rest
6	PM-PPr	-0.42164892	Visual	ECC1mECC2+3	rest
7	PM-PPr	2.0159826	Visual	ECC1mECC2+3	rest
8	PM-PPr	-0.41958502	Visual	ECC1mECC2+3	rest
9	PM-PPr	-0.9713572	Visual	ECC1mECC2+3	rest
12	PM-PPr	-0.0041332245	Visual	ECC1mECC2+3	rest
13	PM-PPr	0.3557283	Visual	ECC1mECC2+3	rest
14	PM-PPr	0.835334	Visual	ECC1mECC2+3	rest
15	PM-PPr	-0.039903767	Visual	ECC1mECC2+3	rest
2	dATN-B	-5.547613	Visual	ECC1mECC2+3	rest
3	dATN-B	0.44175518	Visual	ECC1mECC2+3	rest
4	dATN-B	-4.682373	Visual	ECC1mECC2+3	rest
6	dATN-B	-4.5193553	Visual	ECC1mECC2+3	rest
