atlas	K	networks	subj	dice	type	strength	spatial_w	first_run	second_run	w/b
fs32k	15	all	1	0.6254957914352417	rest	10	0	1	2	within
fs32k	15	all	2	0.6783232092857361	rest	10	0	1	2	within
fs32k	15	all	3	0.6821007132530212	rest	10	0	1	2	within
fs32k	15	all	4	0.7344270348548889	rest	10	0	1	2	within
fs32k	15	all	5	0.6890888214111328	rest	10	0	1	2	within
fs32k	15	all	6	0.6636667847633362	rest	10	0	1	2	within
fs32k	15	all	7	0.5850232839584351	rest	10	0	1	2	within
fs32k	15	all	8	0.6706624627113342	rest	10	0	1	2	within
fs32k	15	all	9	0.6580702662467957	rest	10	0	1	2	within
fs32k	15	all	10	0.6116311550140381	rest	10	0	1	2	within
fs32k	15	all	11	0.6403400301933289	rest	10	0	1	2	within
fs32k	15	all	1	0.6495025753974915	rest	10	0	1	3	within
fs32k	15	all	2	0.6486230492591858	rest	10	0	1	3	within
fs32k	15	all	3	0.6442168354988098	rest	10	0	1	3	within
fs32k	15	all	4	0.765351414680481	rest	10	0	1	3	within
fs32k	15	all	5	0.6776667833328247	rest	10	0	1	3	within
fs32k	15	all	6	0.6248671412467957	rest	10	0	1	3	within
fs32k	15	all	7	0.6052138209342957	rest	10	0	1	3	within
fs32k	15	all	8	0.6667871475219727	rest	10	0	1	3	within
fs32k	15	all	9	0.6490166187286377	rest	10	0	1	3	within
fs32k	15	all	10	0.6462386846542358	rest	10	0	1	3	within
fs32k	15	all	11	0.6922879815101624	rest	10	0	1	3	within
fs32k	15	all	1	0.5991860628128052	rest	10	0	1	4	within
fs32k	15	all	2	0.6444637775421143	rest	10	0	1	4	within
fs32k	15	all	3	0.6533128619194031	rest	10	0	1	4	within
fs32k	15	all	4	0.7141326069831848	rest	10	0	1	4	within
fs32k	15	all	5	0.6968013048171997	rest	10	0	1	4	within
fs32k	15	all	6	0.663336455821991	rest	10	0	1	4	within
fs32k	15	all	7	0.5896145105361938	rest	10	0	1	4	within
fs32k	15	all	8	0.672873854637146	rest	10	0	1	4	within
fs32k	15	all	9	0.5924573540687561	rest	10	0	1	4	within
fs32k	15	all	10	0.6240963339805603	rest	10	0	1	4	within
fs32k	15	all	11	0.618639349937439	rest	10	0	1	4	within
fs32k	15	all	1	0.6155272722244263	rest	10	0	1	5	within
fs32k	15	all	2	0.6447589993476868	rest	10	0	1	5	within
fs32k	15	all	3	0.6558230519294739	rest	10	0	1	5	within
fs32k	15	all	4	0.7117928266525269	rest	10	0	1	5	within
fs32k	15	all	5	0.6905814409255981	rest	10	0	1	5	within
fs32k	15	all	6	0.6453624963760376	rest	10	0	1	5	within
fs32k	15	all	7	0.5902451872825623	rest	10	0	1	5	within
fs32k	15	all	8	0.6680848598480225	rest	10	0	1	5	within
fs32k	15	all	9	0.6041451096534729	rest	10	0	1	5	within
fs32k	15	all	10	0.6210533380508423	rest	10	0	1	5	within
fs32k	15	all	11	0.607673704624176	rest	10	0	1	5	within
fs32k	15	all	1	0.5896689891815186	rest	10	0	1	6	within
fs32k	15	all	2	0.640835702419281	rest	10	0	1	6	within
fs32k	15	all	3	0.6141075491905212	rest	10	0	1	6	within
fs32k	15	all	4	0.717340886592865	rest	10	0	1	6	within
fs32k	15	all	5	0.7078762650489807	rest	10	0	1	6	within
fs32k	15	all	6	0.6093918085098267	rest	10	0	1	6	within
fs32k	15	all	7	0.5773507356643677	rest	10	0	1	6	within
fs32k	15	all	8	0.6473578214645386	rest	10	0	1	6	within
fs32k	15	all	9	0.6221601366996765	rest	10	0	1	6	within
fs32k	15	all	10	0.6167740225791931	rest	10	0	1	6	within
fs32k	15	all	11	0.6826862692832947	rest	10	0	1	6	within
fs32k	15	all	1	0.5724447965621948	rest	10	0	1	7	within
fs32k	15	all	2	0.6233658194541931	rest	10	0	1	7	within
fs32k	15	all	3	0.649366557598114	rest	10	0	1	7	within
fs32k	15	all	4	0.711002767086029	rest	10	0	1	7	within
fs32k	15	all	5	0.6894658803939819	rest	10	0	1	7	within
fs32k	15	all	6	0.5859843492507935	rest	10	0	1	7	within
fs32k	15	all	7	0.5904790163040161	rest	10	0	1	7	within
fs32k	15	all	8	0.6250900626182556	rest	10	0	1	7	within
fs32k	15	all	9	0.6132082343101501	rest	10	0	1	7	within
fs32k	15	all	10	0.6142153739929199	rest	10	0	1	7	within
fs32k	15	all	11	0.6109172701835632	rest	10	0	1	7	within
fs32k	15	all	1	0.6396539211273193	rest	10	0	1	8	within
fs32k	15	all	2	0.669551432132721	rest	10	0	1	8	within
fs32k	15	all	3	0.6032204627990723	rest	10	0	1	8	within
fs32k	15	all	4	0.7038261890411377	rest	10	0	1	8	within
fs32k	15	all	5	0.6797547936439514	rest	10	0	1	8	within
fs32k	15	all	6	0.6351268887519836	rest	10	0	1	8	within
fs32k	15	all	7	0.6186292171478271	rest	10	0	1	8	within
fs32k	15	all	8	0.613068163394928	rest	10	0	1	8	within
