sn	iter	num_runs	kappa_indiv	kappa_group
0	0	2	15.432938	6.973154
1	0	2	17.930529	6.973154
2	0	2	13.774004	6.973154
3	0	2	16.146753	6.973154
4	0	2	19.209549	6.973154
5	0	2	13.703028	6.973154
6	0	2	17.35538	6.973154
7	0	2	12.199414	6.973154
8	0	2	11.755701	6.973154
9	0	2	14.552634	6.973154
10	0	2	17.235884	6.973154
11	0	2	11.830909	6.973154
12	0	2	20.975662	6.973154
13	0	2	18.934786	6.973154
14	0	2	11.0578	6.973154
15	0	2	17.910938	6.973154
16	0	2	16.81919	6.973154
17	0	2	14.401217	6.973154
18	0	2	14.607434	6.973154
19	0	2	17.23991	6.973154
20	0	2	12.9704485	6.973154
21	0	2	13.328851	6.973154
22	0	2	13.748063	6.973154
23	0	2	11.876876	6.973154
0	0	2	15.432938	9.19147
1	0	2	17.930529	9.19147
2	0	2	13.774004	9.19147
3	0	2	16.146753	9.19147
4	0	2	19.209549	9.19147
5	0	2	13.703028	9.19147
6	0	2	17.35538	9.19147
7	0	2	12.199414	9.19147
8	0	2	11.755701	9.19147
9	0	2	14.552634	9.19147
10	0	2	17.235884	9.19147
11	0	2	11.830909	9.19147
12	0	2	20.975662	9.19147
13	0	2	18.934786	9.19147
14	0	2	11.0578	9.19147
15	0	2	17.910938	9.19147
16	0	2	16.81919	9.19147
17	0	2	14.401217	9.19147
18	0	2	14.607434	9.19147
19	0	2	17.23991	9.19147
20	0	2	12.9704485	9.19147
21	0	2	13.328851	9.19147
22	0	2	13.748063	9.19147
23	0	2	11.876876	9.19147
0	1	2	14.653218	9.19147
1	1	2	19.980797	9.19147
2	1	2	12.552395	9.19147
3	1	2	17.132511	9.19147
4	1	2	15.050147	9.19147
5	1	2	13.672854	9.19147
6	1	2	17.974323	9.19147
7	1	2	12.854142	9.19147
8	1	2	15.880458	9.19147
9	1	2	14.349587	9.19147
10	1	2	16.388237	9.19147
11	1	2	11.900326	9.19147
12	1	2	17.737402	9.19147
13	1	2	16.204493	9.19147
14	1	2	15.558735	9.19147
15	1	2	19.930695	9.19147
16	1	2	14.570823	9.19147
17	1	2	15.247844	9.19147
18	1	2	16.62845	9.19147
19	1	2	15.82298	9.19147
20	1	2	17.199682	9.19147
21	1	2	14.253403	9.19147
22	1	2	12.006706	9.19147
23	1	2	13.73414	9.19147
0	1	2	14.653218	9.538103
1	1	2	19.980797	9.538103
2	1	2	12.552395	9.538103
3	1	2	17.132511	9.538103
4	1	2	15.050147	9.538103
5	1	2	13.672854	9.538103
6	1	2	17.974323	9.538103
7	1	2	12.854142	9.538103
8	1	2	15.880458	9.538103
9	1	2	14.349587	9.538103
10	1	2	16.388237	9.538103
11	1	2	11.900326	9.538103
12	1	2	17.737402	9.538103
13	1	2	16.204493	9.538103
14	1	2	15.558735	9.538103
15	1	2	19.930695	9.538103
16	1	2	14.570823	9.538103
17	1	2	15.247844	9.538103
18	1	2	16.62845	9.538103
19	1	2	15.82298	9.538103
20	1	2	17.199682	9.538103
21	1	2	14.253403	9.538103
22	1	2	12.006706	9.538103
23	1	2	13.73414	9.538103
0	2	2	15.125748	9.538103
1	2	2	14.909948	9.538103
2	2	2	13.35646	9.538103
3	2	2	15.964383	9.538103
4	2	2	16.862402	9.538103
5	2	2	11.153746	9.538103
6	2	2	18.937536	9.538103
7	2	2	13.364364	9.538103
8	2	2	13.454558	9.538103
9	2	2	13.40474	9.538103
10	2	2	17.46677	9.538103
11	2	2	12.433872	9.538103
12	2	2	19.462729	9.538103
13	2	2	14.534788	9.538103
14	2	2	15.380434	9.538103
15	2	2	18.776587	9.538103
16	2	2	14.3088045	9.538103
17	2	2	12.828906	9.538103
18	2	2	20.957447	9.538103
19	2	2	18.11483	9.538103
20	2	2	14.153739	9.538103
21	2	2	17.182104	9.538103
22	2	2	12.713586	9.538103
23	2	2	13.20743	9.538103
0	2	2	15.125748	9.702504
1	2	2	14.909948	9.702504
2	2	2	13.35646	9.702504
3	2	2	15.964383	9.702504
4	2	2	16.862402	9.702504
5	2	2	11.153746	9.702504
6	2	2	18.937536	9.702504
7	2	2	13.364364	9.702504
8	2	2	13.454558	9.702504
9	2	2	13.40474	9.702504
10	2	2	17.46677	9.702504
11	2	2	12.433872	9.702504
12	2	2	19.462729	9.702504
13	2	2	14.534788	9.702504
14	2	2	15.380434	9.702504
15	2	2	18.776587	9.702504
16	2	2	14.3088045	9.702504
17	2	2	12.828906	9.702504
18	2	2	20.957447	9.702504
19	2	2	18.11483	9.702504
20	2	2	14.153739	9.702504
21	2	2	17.182104	9.702504
22	2	2	12.713586	9.702504
23	2	2	13.20743	9.702504
0	3	2	12.643474	9.702504
1	3	2	14.886181	9.702504
2	3	2	11.918987	9.702504
3	3	2	13.901982	9.702504
4	3	2	12.526378	9.702504
5	3	2	13.757965	9.702504
6	3	2	13.896394	9.702504
7	3	2	13.207154	9.702504
8	3	2	14.532291	9.702504
9	3	2	13.270586	9.702504
10	3	2	15.827922	9.702504
11	3	2	11.87941	9.702504
12	3	2	13.8806305	9.702504
13	3	2	14.640835	9.702504
14	3	2	12.565421	9.702504
15	3	2	14.32163	9.702504
16	3	2	11.982724	9.702504
17	3	2	15.376973	9.702504
18	3	2	16.35463	9.702504
19	3	2	15.843196	9.702504
20	3	2	17.808207	9.702504
21	3	2	14.766011	9.702504
22	3	2	11.646084	9.702504
23	3	2	11.750607	9.702504
0	3	2	12.643474	7.656101
1	3	2	14.886181	7.656101
2	3	2	11.918987	7.656101
3	3	2	13.901982	7.656101
4	3	2	12.526378	7.656101
5	3	2	13.757965	7.656101
6	3	2	13.896394	7.656101
7	3	2	13.207154	7.656101
8	3	2	14.532291	7.656101
9	3	2	13.270586	7.656101
10	3	2	15.827922	7.656101
11	3	2	11.87941	7.656101
12	3	2	13.8806305	7.656101
13	3	2	14.640835	7.656101
14	3	2	12.565421	7.656101
15	3	2	14.32163	7.656101
16	3	2	11.982724	7.656101
17	3	2	15.376973	7.656101
18	3	2	16.35463	7.656101
19	3	2	15.843196	7.656101
20	3	2	17.808207	7.656101
21	3	2	14.766011	7.656101
22	3	2	11.646084	7.656101
23	3	2	11.750607	7.656101
0	4	2	14.42039	7.656101
1	4	2	16.82397	7.656101
2	4	2	12.451549	7.656101
3	4	2	14.66341	7.656101
4	4	2	23.48118	7.656101
5	4	2	11.779902	7.656101
6	4	2	15.17028	7.656101
7	4	2	12.587802	7.656101
8	4	2	15.0916605	7.656101
9	4	2	13.366163	7.656101
10	4	2	18.532099	7.656101
11	4	2	13.609115	7.656101
12	4	2	17.598495	7.656101
13	4	2	17.546928	7.656101
14	4	2	11.4878025	7.656101
15	4	2	15.15712	7.656101
16	4	2	13.624902	7.656101
17	4	2	13.045127	7.656101
18	4	2	16.001944	7.656101
19	4	2	14.4948225	7.656101
20	4	2	13.544518	7.656101
21	4	2	13.060275	7.656101
22	4	2	13.813539	7.656101
23	4	2	12.317752	7.656101
0	4	2	14.42039	8.704027
1	4	2	16.82397	8.704027
2	4	2	12.451549	8.704027
3	4	2	14.66341	8.704027
4	4	2	23.48118	8.704027
5	4	2	11.779902	8.704027
6	4	2	15.17028	8.704027
7	4	2	12.587802	8.704027
8	4	2	15.0916605	8.704027
9	4	2	13.366163	8.704027
10	4	2	18.532099	8.704027
11	4	2	13.609115	8.704027
12	4	2	17.598495	8.704027
13	4	2	17.546928	8.704027
14	4	2	11.4878025	8.704027
15	4	2	15.15712	8.704027
16	4	2	13.624902	8.704027
17	4	2	13.045127	8.704027
18	4	2	16.001944	8.704027
19	4	2	14.4948225	8.704027
20	4	2	13.544518	8.704027
21	4	2	13.060275	8.704027
22	4	2	13.813539	8.704027
23	4	2	12.317752	8.704027
0	5	2	23.1209	8.704027
1	5	2	21.218117	8.704027
2	5	2	23.32487	8.704027
3	5	2	24.07012	8.704027
4	5	2	25.278608	8.704027
5	5	2	13.261437	8.704027
6	5	2	21.406939	8.704027
7	5	2	15.92515	8.704027
8	5	2	23.462414	8.704027
9	5	2	19.050879	8.704027
10	5	2	24.915922	8.704027
11	5	2	22.09494	8.704027
12	5	2	29.64492	8.704027
13	5	2	22.21358	8.704027
14	5	2	22.164728	8.704027
15	5	2	26.24054	8.704027
16	5	2	22.610611	8.704027
17	5	2	21.285845	8.704027
18	5	2	53.3926	8.704027
19	5	2	22.884153	8.704027
20	5	2	18.156948	8.704027
21	5	2	29.265884	8.704027
22	5	2	20.008978	8.704027
23	5	2	20.412846	8.704027
0	5	2	23.1209	11.624023
1	5	2	21.218117	11.624023
2	5	2	23.32487	11.624023
3	5	2	24.07012	11.624023
4	5	2	25.278608	11.624023
5	5	2	13.261437	11.624023
6	5	2	21.406939	11.624023
7	5	2	15.92515	11.624023
8	5	2	23.462414	11.624023
9	5	2	19.050879	11.624023
10	5	2	24.915922	11.624023
11	5	2	22.09494	11.624023
12	5	2	29.64492	11.624023
13	5	2	22.21358	11.624023
14	5	2	22.164728	11.624023
15	5	2	26.24054	11.624023
16	5	2	22.610611	11.624023
17	5	2	21.285845	11.624023
18	5	2	53.3926	11.624023
19	5	2	22.884153	11.624023
20	5	2	18.156948	11.624023
21	5	2	29.265884	11.624023
22	5	2	20.008978	11.624023
23	5	2	20.412846	11.624023
0	6	2	22.915667	11.624023
1	6	2	30.975853	11.624023
2	6	2	15.679347	11.624023
3	6	2	18.385363	11.624023
4	6	2	34.645367	11.624023
5	6	2	23.1051	11.624023
6	6	2	27.542858	11.624023
7	6	2	22.821896	11.624023
8	6	2	25.115442	11.624023
9	6	2	25.8984	11.624023
10	6	2	28.343151	11.624023
11	6	2	17.900585	11.624023
12	6	2	24.153603	11.624023
13	6	2	26.68288	11.624023
14	6	2	19.215328	11.624023
15	6	2	20.425222	11.624023
16	6	2	18.154982	11.624023
17	6	2	16.156807	11.624023
18	6	2	37.836243	11.624023
19	6	2	25.211714	11.624023
20	6	2	23.870012	11.624023
21	6	2	27.936234	11.624023
22	6	2	18.758316	11.624023
23	6	2	18.532408	11.624023
0	6	2	22.915667	9.633247
1	6	2	30.975853	9.633247
2	6	2	15.679347	9.633247
3	6	2	18.385363	9.633247
4	6	2	34.645367	9.633247
5	6	2	23.1051	9.633247
6	6	2	27.542858	9.633247
7	6	2	22.821896	9.633247
8	6	2	25.115442	9.633247
9	6	2	25.8984	9.633247
10	6	2	28.343151	9.633247
11	6	2	17.900585	9.633247
12	6	2	24.153603	9.633247
13	6	2	26.68288	9.633247
14	6	2	19.215328	9.633247
15	6	2	20.425222	9.633247
16	6	2	18.154982	9.633247
17	6	2	16.156807	9.633247
18	6	2	37.836243	9.633247
19	6	2	25.211714	9.633247
20	6	2	23.870012	9.633247
21	6	2	27.936234	9.633247
22	6	2	18.758316	9.633247
23	6	2	18.532408	9.633247
0	7	2	14.980931	9.633247
1	7	2	16.070375	9.633247
2	7	2	10.505943	9.633247
3	7	2	14.105269	9.633247
4	7	2	18.32214	9.633247
5	7	2	14.656807	9.633247
6	7	2	14.452918	9.633247
7	7	2	11.981913	9.633247
8	7	2	16.53527	9.633247
9	7	2	11.276667	9.633247
10	7	2	19.214746	9.633247
11	7	2	14.018369	9.633247
12	7	2	16.201279	9.633247
13	7	2	13.874672	9.633247
14	7	2	13.5977125	9.633247
15	7	2	16.773502	9.633247
