sn	train	num_runs	max_dist	bin_width	kappa	DCBC
0	ses-s1	16	40	1.5	0.0	0.12715522179391966
1	ses-s1	16	40	1.5	0.0	0.10451169216784416
2	ses-s1	16	40	1.5	0.0	0.06989489205260845
3	ses-s1	16	40	1.5	0.0	0.2302184079645288
4	ses-s1	16	40	1.5	0.0	0.12891467614292584
5	ses-s1	16	40	1.5	0.0	0.16982124250166805
6	ses-s1	16	40	1.5	0.0	0.2302779081925414
7	ses-s1	16	40	1.5	0.0	0.12403904825543391
8	ses-s1	16	40	1.5	0.0	0.10912720959897151
9	ses-s1	16	40	1.5	0.0	0.1271586939649363
10	ses-s1	16	40	1.5	0.0	0.1894960553357622
11	ses-s1	16	40	1.5	0.0	0.06577510581340605
12	ses-s1	16	40	1.5	0.0	0.11676629359696443
13	ses-s1	16	40	1.5	0.0	0.17077709577647082
14	ses-s1	16	40	1.5	0.0	0.11609025063377684
15	ses-s1	16	40	1.5	0.0	0.17847546875111422
16	ses-s1	16	40	1.5	0.0	0.15790741820654156
17	ses-s1	16	40	1.5	0.0	0.09645676801579645
18	ses-s1	16	40	1.5	0.0	0.1589217686414717
19	ses-s1	16	40	1.5	0.0	0.1617045045702853
20	ses-s1	16	40	1.5	0.0	0.1788210450787163
21	ses-s1	16	40	1.5	0.0	0.10760157323170187
22	ses-s1	16	40	1.5	0.0	0.0917816390884216
23	ses-s1	16	40	1.5	0.0	0.16028452145572167
0	ses-s1	16	40	1.5	0.2	0.15334317320340246
1	ses-s1	16	40	1.5	0.2	0.14076022911844535
2	ses-s1	16	40	1.5	0.2	0.07592259550233275
3	ses-s1	16	40	1.5	0.2	0.31949068199273145
4	ses-s1	16	40	1.5	0.2	0.15306866744994324
5	ses-s1	16	40	1.5	0.2	0.19171401972216534
6	ses-s1	16	40	1.5	0.2	0.26105568806747453
7	ses-s1	16	40	1.5	0.2	0.17276802173894884
8	ses-s1	16	40	1.5	0.2	0.11088896618545165
9	ses-s1	16	40	1.5	0.2	0.16441604226488277
10	ses-s1	16	40	1.5	0.2	0.24062326931978395
11	ses-s1	16	40	1.5	0.2	0.07077141421788431
12	ses-s1	16	40	1.5	0.2	0.14918637925450015
13	ses-s1	16	40	1.5	0.2	0.20663956810946496
14	ses-s1	16	40	1.5	0.2	0.12829907912967575
15	ses-s1	16	40	1.5	0.2	0.22305242151573187
16	ses-s1	16	40	1.5	0.2	0.17587560684185485
17	ses-s1	16	40	1.5	0.2	0.1315577822136794
18	ses-s1	16	40	1.5	0.2	0.18107544245481497
19	ses-s1	16	40	1.5	0.2	0.18730955467159804
20	ses-s1	16	40	1.5	0.2	0.1904193768749438
21	ses-s1	16	40	1.5	0.2	0.1272081259800695
22	ses-s1	16	40	1.5	0.2	0.12277541083599526
23	ses-s1	16	40	1.5	0.2	0.1741973206843208
