sn	num_runs	kappa_true	kappa_indiv	kappa_group
0	2	0	0.7937525738534001	5.037552282071798
1	2	1	1.1933305508652918	5.037552282071798
2	2	2	2.073996192788254	5.037552282071798
3	2	3	3.1091601157423496	5.037552282071798
4	2	4	4.136376983011434	5.037552282071798
5	2	5	5.214656124833646	5.037552282071798
6	2	6	6.063794801737587	5.037552282071798
7	2	7	7.012854123770092	5.037552282071798
8	2	8	8.210426307364475	5.037552282071798
9	2	9	9.074097281717814	5.037552282071798
10	2	10	9.923649964574578	5.037552282071798
0	3	0	0.5313580513345056	4.946943781470823
1	3	1	1.2596628507878869	4.946943781470823
2	3	2	2.11662222023618	4.946943781470823
3	3	3	3.152410203837398	4.946943781470823
4	3	4	4.251910077447324	4.946943781470823
5	3	5	5.101212832265569	4.946943781470823
6	3	6	5.9160187118876575	4.946943781470823
7	3	7	7.156074822658472	4.946943781470823
8	3	8	7.952828622930659	4.946943781470823
9	3	9	9.033930255371887	4.946943781470823
10	3	10	10.105675706427105	4.946943781470823
0	4	0	0.3377661430371821	4.947208231195492
1	4	1	1.1297551800173458	4.947208231195492
2	4	2	2.1385526992103423	4.947208231195492
3	4	3	3.187600111915304	4.947208231195492
4	4	4	3.984631409925238	4.947208231195492
5	4	5	4.976764014966011	4.947208231195492
6	4	6	6.0850212161082675	4.947208231195492
7	4	7	7.109676387571964	4.947208231195492
8	4	8	7.926567359599961	4.947208231195492
9	4	9	9.099561027900743	4.947208231195492
10	4	10	10.10561577327808	4.947208231195492
0	5	0	0.4153755012302306	4.917929334069093
1	5	1	1.1305426903336877	4.917929334069093
2	5	2	2.1798290815102614	4.917929334069093
3	5	3	3.1240349972390944	4.917929334069093
4	5	4	3.9747728017841673	4.917929334069093
5	5	5	5.013230610512713	4.917929334069093
6	5	6	6.063859095131067	4.917929334069093
7	5	7	7.086355684103333	4.917929334069093
8	5	8	8.042981078467983	4.917929334069093
9	5	9	9.058146632042238	4.917929334069093
10	5	10	10.149558369006742	4.917929334069093
0	6	0	0.3948656753270567	4.908387109089242
1	6	1	1.0613255129562966	4.908387109089242
2	6	2	2.0840668641376503	4.908387109089242
3	6	3	3.041885411212305	4.908387109089242
4	6	4	4.070773057680626	4.908387109089242
5	6	5	5.1034161200156865	4.908387109089242
6	6	6	6.176193288233762	4.908387109089242
7	6	7	7.092280093433642	4.908387109089242
8	6	8	8.101956646935724	4.908387109089242
9	6	9	9.210532572422	4.908387109089242
10	6	10	10.224938063485784	4.908387109089242
0	7	0	0.3981770319433576	4.8604231977709675
1	7	1	1.0923657324369882	4.8604231977709675
2	7	2	2.0604275716071485	4.8604231977709675
3	7	3	2.972647757973235	4.8604231977709675
4	7	4	3.9948081454308535	4.8604231977709675
5	7	5	5.033252979413981	4.8604231977709675
6	7	6	5.969423707395429	4.8604231977709675
7	7	7	7.144407010676227	4.8604231977709675
8	7	8	8.116274506527766	4.8604231977709675
9	7	9	9.190753424902358	4.8604231977709675
10	7	10	10.047229668867466	4.8604231977709675
0	8	0	0.28535070145032904	4.840567401090519
1	8	1	1.0280064851133834	4.840567401090519
2	8	2	2.0315576443472847	4.840567401090519
3	8	3	3.06993889741015	4.840567401090519
4	8	4	4.085332233006476	4.840567401090519
5	8	5	5.05336190138399	4.840567401090519
6	8	6	6.012789862006764	4.840567401090519
7	8	7	7.074597824985762	4.840567401090519
8	8	8	8.086858159983821	4.840567401090519
9	8	9	9.190819687627934	4.840567401090519
10	8	10	9.944851108914008	4.840567401090519
0	9	0	0.2573622152077944	4.825602603287237
1	9	1	1.0869048258674732	4.825602603287237
2	9	2	2.0170705047159516	4.825602603287237
3	9	3	3.1017702720912887	4.825602603287237
4	9	4	3.995840555480211	4.825602603287237
5	9	5	5.027902479392004	4.825602603287237
6	9	6	6.042526449790728	4.825602603287237
7	9	7	7.111006463037458	4.825602603287237
8	9	8	8.020267459434166	4.825602603287237
9	9	9	9.039977329662934	4.825602603287237
10	9	10	10.101272907707237	4.825602603287237
0	10	0	0.3290489907819966	4.79263842529189
1	10	1	1.0919287161511062	4.79263842529189
2	10	2	1.9698125090278806	4.79263842529189
3	10	3	2.991489665893519	4.79263842529189
4	10	4	4.015672666829138	4.79263842529189
5	10	5	5.072949877970672	4.79263842529189
6	10	6	5.958246200527423	4.79263842529189
7	10	7	7.04727256698161	4.79263842529189
8	10	8	8.072089311909869	4.79263842529189
9	10	9	9.006460707519034	4.79263842529189
10	10	10	10.071574668528788	4.79263842529189
